code,carac,description,month,year,value_uss,quantity_kg
30611,export,"Rock lobster and other sea crawfish (Palinurus spp, Panulir spp, Jasus spp)",7,2014,12939168,381903
30611,export,"Rock lobster and other sea crawfish (Palinurus spp, Panulir spp, Jasus spp)",7,2014,1530105,73140
30389,export,"Other fish, excluding livers and roes",7,2014,2365106,415530
30389,export,"Other fish, excluding livers and roes",7,2014,1314261,601171
30572,export,"Heads, tails, and swim bladders of fish",7,2014,1448462,38091
30247,export,"Swordfish (Xiphias gladius), fresh or chilled",7,2014,271696,50729
30289,export,"Other fish, excluding livers and roes",7,2014,203966,44673
30259,export,"Other fish of families Bregmacerotidae, Gadidae, etc..",7,2014,174706,28351
30389,export,"Other fish, excluding livers and roes",7,2014,95133,39240
30111,export,Freshwater ornamental fish,7,2014,2178835,6381
30617,export,"Other shrimps and prawns, frozen",7,2014,794508,56888
30571,export,Shark fins,7,2014,92483,2673
30339,export,"Frozen flat fish Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae (excl. halibut, plaice and sole)",7,2014,29606,22500
30234,export,Fresh or chilled bigeye tunas Thunnus obesus,7,2014,77582,8606
30382,export,"Skates (Rajidae), frozen",7,2014,261900,87300
30232,export,Fresh or chilled yellowfin tunas Thunnus albacares,7,2014,43809,5364
30357,export,"Swordfish (xiphias galdius), frozen",7,2014,50527,10031
30342,export,Frozen yellowfin tunas Thunnus albacares,7,2014,76936,34429
30431,export,"files de tilapias (frescos, refrigerados ou conelados)",7,2014,28125,3405
30489,export,"Other fish fillets, frozen",7,2014,23386,1798
30389,export,"Other fish, excluding livers and roes",7,2014,452568,93557
30239,export,"Fresh or chilled tunas of the genus Thunnus (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus and Thunnus maccoyii)",7,2014,121367,16153
30389,export,"Other fish, excluding livers and roes",7,2014,358000,214000
30489,export,"Other fish fillets, frozen",7,2014,117603,34974
30119,export,Other live ornamental fish,7,2014,26716,172
30344,export,Frozen bigeye tunas Thunnus obesus,7,2014,53034,13615
30461,export,"Fillets of tilapias (oreochromis spp.), frozen",7,2014,98560,11200
30449,export,"Other fish fillets, fresh or chilled",7,2014,6251,627
30341,export,Frozen albacore or longfinned tunas Thunnus alalunga,7,2014,39999,21052
30389,export,"Other fish, excluding livers and roes",6,2014,1874458,315853
30611,export,"Rock lobster and other sea crawfish (Palinurus spp, Panulir spp, Jasus spp)",6,2014,9028725,264646
30389,export,"Other fish, excluding livers and roes",6,2014,787873,375154
30572,export,"Heads, tails, and swim bladders of fish",6,2014,2104923,47084
30247,export,"Swordfish (Xiphias gladius), fresh or chilled",6,2014,243817,40799
30289,export,"Other fish, excluding livers and roes",6,2014,156889,34914
30611,export,"Rock lobster and other sea crawfish (Palinurus spp, Panulir spp, Jasus spp)",6,2014,250200,12000
30389,export,"Other fish, excluding livers and roes",6,2014,9240,7310
30342,export,Frozen yellowfin tunas Thunnus albacares,6,2014,10370,2000
30617,export,"Other shrimps and prawns, frozen",6,2014,434508,31200
30259,export,"Other fish of families Bregmacerotidae, Gadidae, etc..",6,2014,150995,25528
30382,export,"Skates (Rajidae), frozen",6,2014,344900,114600
30111,export,Freshwater ornamental fish,6,2014,1636296,4764
30343,export,Frozen skipjack or stripe-bellied bonito Euthynnus -Katsuwonus- pelamis,6,2014,765056,394924
30489,export,"Other fish fillets, frozen",6,2014,31605,2465
30234,export,Fresh or chilled bigeye tunas Thunnus obesus,6,2014,65531,7563
30232,export,Fresh or chilled yellowfin tunas Thunnus albacares,6,2014,98529,10343
30571,export,Shark fins,6,2014,123389,2662
30389,export,"Other fish, excluding livers and roes",6,2014,366195,234110
30431,export,"files de tilapias (frescos, refrigerados ou conelados)",6,2014,18750,2270
30489,export,"Other fish fillets, frozen",6,2014,48436,5915
30357,export,"Swordfish (xiphias galdius), frozen",6,2014,214329,41806
30389,export,"Other fish, excluding livers and roes",6,2014,157938,27284
30614,export,"Frozen crabs, whether in shell or not, incl. crabs in shell, cooked by steaming or by boiling in water",6,2014,174652,31768
30344,export,Frozen bigeye tunas Thunnus obesus,6,2014,49141,9721
30239,export,"Fresh or chilled tunas of the genus Thunnus (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus and Thunnus maccoyii)",6,2014,100329,13011
30119,export,Other live ornamental fish,6,2014,18480,240
30499,export,"Frozen fish meat whether or not minced (excl. swordfish, toothfish and fillets)",6,2014,71020,9870
30449,export,"Other fish fillets, fresh or chilled",6,2014,15792,1615
30389,export,"Other fish, excluding livers and roes",5,2014,522086,244768
30343,export,Frozen skipjack or stripe-bellied bonito Euthynnus -Katsuwonus- pelamis,5,2014,886299,449710
30572,export,"Heads, tails, and swim bladders of fish",5,2014,1111179,34612
30289,export,"Other fish, excluding livers and roes",5,2014,259781,56542
30234,export,Fresh or chilled bigeye tunas Thunnus obesus,5,2014,12995,1787
30259,export,"Other fish of families Bregmacerotidae, Gadidae, etc..",5,2014,248710,41294
30247,export,"Swordfish (Xiphias gladius), fresh or chilled",5,2014,88446,15339
30111,export,Freshwater ornamental fish,5,2014,827371,3726
30617,export,"Other shrimps and prawns, frozen",5,2014,420325,31200
30232,export,Fresh or chilled yellowfin tunas Thunnus albacares,5,2014,21625,2274
30431,export,"files de tilapias (frescos, refrigerados ou conelados)",5,2014,46875,5675
30382,export,"Skates (Rajidae), frozen",5,2014,362450,120000
30389,export,"Other fish, excluding livers and roes",5,2014,445570,76154
30389,export,"Other fish, excluding livers and roes",5,2014,167098,34806
30571,export,Shark fins,5,2014,179762,4489
30389,export,"Other fish, excluding livers and roes",5,2014,284700,162000
30239,export,"Fresh or chilled tunas of the genus Thunnus (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus and Thunnus maccoyii)",5,2014,3308,476
30119,export,Other live ornamental fish,5,2014,32005,357
30289,export,"Other fish, excluding livers and roes",5,2014,539,80
30614,export,"Frozen crabs, whether in shell or not, incl. crabs in shell, cooked by steaming or by boiling in water",5,2014,167386,30988
30289,export,"Other fish, excluding livers and roes",4,2014,329980,74266
30389,export,"Other fish, excluding livers and roes",4,2014,595717,243524
30572,export,"Heads, tails, and swim bladders of fish",4,2014,1705283,37702
30259,export,"Other fish of families Bregmacerotidae, Gadidae, etc..",4,2014,326660,51076
30234,export,Fresh or chilled bigeye tunas Thunnus obesus,4,2014,358840,38046
30111,export,Freshwater ornamental fish,4,2014,474111,4587
30343,export,Frozen skipjack or stripe-bellied bonito Euthynnus -Katsuwonus- pelamis,4,2014,1189578,617067
30247,export,"Swordfish (Xiphias gladius), fresh or chilled",4,2014,187783,30505
30232,export,Fresh or chilled yellowfin tunas Thunnus albacares,4,2014,102347,11084
30431,export,"files de tilapias (frescos, refrigerados ou conelados)",4,2014,75000,9080
30617,export,"Other shrimps and prawns, frozen",4,2014,394877,36000
30489,export,"Other fish fillets, frozen",4,2014,21428,1570
30389,export,"Other fish, excluding livers and roes",4,2014,314668,177520
30382,export,"Skates (Rajidae), frozen",4,2014,312300,104100
30389,export,"Other fish, excluding livers and roes",4,2014,72585,15918
30389,export,"Other fish, excluding livers and roes",4,2014,14538,12980
30461,export,"Fillets of tilapias (oreochromis spp.), frozen",4,2014,98560,11200
30239,export,"Fresh or chilled tunas of the genus Thunnus (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus and Thunnus maccoyii)",4,2014,355060,49222
30342,export,Frozen yellowfin tunas Thunnus albacares,4,2014,3279,745
30119,export,Other live ornamental fish,4,2014,33724,403
30499,export,"Frozen fish meat whether or not minced (excl. swordfish, toothfish and fillets)",4,2014,541319,36974
30289,export,"Other fish, excluding livers and roes",4,2014,1423,230
30614,export,"Frozen crabs, whether in shell or not, incl. crabs in shell, cooked by steaming or by boiling in water",4,2014,64198,12266
30449,export,"Other fish fillets, fresh or chilled",4,2014,12811,1292
30289,export,"Other fish, excluding livers and roes",3,2014,251355,52998
30343,export,Frozen skipjack or stripe-bellied bonito Euthynnus -Katsuwonus- pelamis,3,2014,1310925,666750
30389,export,"Other fish, excluding livers and roes",3,2014,1066796,364376
30572,export,"Heads, tails, and swim bladders of fish",3,2014,1412866,39471
30234,export,Fresh or chilled bigeye tunas Thunnus obesus,3,2014,378054,38958
30259,export,"Other fish of families Bregmacerotidae, Gadidae, etc..",3,2014,268772,50254
30111,export,Freshwater ornamental fish,3,2014,521661,5707
30247,export,"Swordfish (Xiphias gladius), fresh or chilled",3,2014,123198,18857
30232,export,Fresh or chilled yellowfin tunas Thunnus albacares,3,2014,55083,6232
30431,export,"files de tilapias (frescos, refrigerados ou conelados)",3,2014,93750,11350
30342,export,Frozen yellowfin tunas Thunnus albacares,3,2014,12659,2870
30389,export,"Other fish, excluding livers and roes",3,2014,33584,5920
30611,export,"Rock lobster and other sea crawfish (Palinurus spp, Panulir spp, Jasus spp)",3,2014,37885,1306
30389,export,"Other fish, excluding livers and roes",3,2014,309678,58657
30389,export,"Other fish, excluding livers and roes",3,2014,247000,136000
30382,export,"Skates (Rajidae), frozen",3,2014,270000,90000
30571,export,Shark fins,3,2014,16239,528
30119,export,Other live ornamental fish,3,2014,27074,341
30489,export,"Other fish fillets, frozen",3,2014,63330,6960
30289,export,"Other fish, excluding livers and roes",3,2014,876,120
30239,export,"Fresh or chilled tunas of the genus Thunnus (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus and Thunnus maccoyii)",3,2014,273452,37584
30389,export,"Other fish, excluding livers and roes",2,2014,1191823,474309
30572,export,"Heads, tails, and swim bladders of fish",2,2014,1450444,36053
30234,export,Fresh or chilled bigeye tunas Thunnus obesus,2,2014,236674,25242
30259,export,"Other fish of families Bregmacerotidae, Gadidae, etc..",2,2014,187226,33424
30289,export,"Other fish, excluding livers and roes",2,2014,238362,50130
30431,export,"files de tilapias (frescos, refrigerados ou conelados)",2,2014,75000,9080
30247,export,"Swordfish (Xiphias gladius), fresh or chilled",2,2014,172697,26514
30111,export,Freshwater ornamental fish,2,2014,841998,6012
30232,export,Fresh or chilled yellowfin tunas Thunnus albacares,2,2014,92600,9647
30389,export,"Other fish, excluding livers and roes",2,2014,41462,26080
30611,export,"Rock lobster and other sea crawfish (Palinurus spp, Panulir spp, Jasus spp)",2,2014,268435,14530
30489,export,"Other fish fillets, frozen",2,2014,33718,3000
30382,export,"Skates (Rajidae), frozen",2,2014,271573,89590
30389,export,"Other fish, excluding livers and roes",2,2014,537940,312000
30389,export,"Other fish, excluding livers and roes",2,2014,131313,34180
30499,export,"Frozen fish meat whether or not minced (excl. swordfish, toothfish and fillets)",2,2014,3241,246
30389,export,"Other fish, excluding livers and roes",2,2014,102825,19580
30571,export,Shark fins,2,2014,114799,2960
30239,export,"Fresh or chilled tunas of the genus Thunnus (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus and Thunnus maccoyii)",2,2014,283093,38459
30119,export,Other live ornamental fish,2,2014,25422,266
30611,export,"Rock lobster and other sea crawfish (Palinurus spp, Panulir spp, Jasus spp)",2,2014,181930,6314
30289,export,"Other fish, excluding livers and roes",2,2014,1262,190
30572,export,"Heads, tails, and swim bladders of fish",1,2014,1795947,39945
30389,export,"Other fish, excluding livers and roes",1,2014,1061804,445635
30389,export,"Other fish, excluding livers and roes",1,2014,771267,136954
30389,export,"Other fish, excluding livers and roes",1,2014,2076,1370
