year,month,taxa,species_portuguese,species_english,species_sci,production_kg
2014,1,Crustáceos,Camarão-barba-ruça,Shrimp,Artemesia longinaris,383217
2014,1,Crustáceos,Camarão-rosa,Shrimp,Farfantepenaeus paulensis,3305
2014,1,Crustáceos,Camarão-santana,Shrimp,Pleoticus muelleri,11734
2014,1,Crustáceos,Camarão-santana + barba-ruca,Camarão-santana + barba-ruca,NA,35000
2014,1,Crustáceos,Pitú,Pitú,NA,270
2014,1,Crustáceos,Sapateira,Edible crab,Cancer pagurus,60
2014,1,Elasmobrânquios,Cação-anequim,Shark,NA,1059
2014,1,Elasmobrânquios,Cação-anjo,Shark,NA,240
2014,1,Elasmobrânquios,Cação-azul,Blue dog,Prionace glauca,3860
2014,1,Elasmobrânquios,Cação-cabeca-chata,Shark,NA,280
2014,1,Elasmobrânquios,Cação-martelo,Shark,NA,905
2014,1,Elasmobrânquios,Cação-tigre,Shark,NA,130
2014,1,Elasmobrânquios,Cações,Shark,Mustelus spp,1069
2014,1,Elasmobrânquios,Caçonete,Shark,NA,1026
2014,1,Elasmobrânquios,Emplastro,Emplastro,NA,25921
2014,1,Elasmobrânquios,Machote,Spinner Shark,NA,1251
2014,1,Elasmobrânquios,Raia,Ray,NA,635
2014,1,Moluscos,Calamar-argentino,Calamar-argentino,Illex argentinus,1000
2014,1,Moluscos,Lula,Squid,Loligo sanpaulensis,30903
2014,1,Moluscos,Polvo,Octopus,Octopus spp.,200
2014,1,Não Cadastrado,Mistura,Other fish,NA,20153
2014,1,Teleósteos,Abrótea,Brazilian codling,Urophycis brasiliensis,19825
2014,1,Teleósteos,Abrótea-de-fundo,Brazilian codling,NA,104140
2014,1,Teleósteos,Albacora-branca,Albacora-branca,Thunnus alalunga,389
2014,1,Teleósteos,Albacora-lage,Albacore,Thunnus albacares,14920
2014,1,Teleósteos,Atum,Blow goat,Auxis rochei,16
2014,1,Teleósteos,Bagre,Couma sea catfish,Sciades couma,1720
2014,1,Teleósteos,Batata,Atlantic goldeneye tilefish,Caulolatilus chrysops,400
2014,1,Teleósteos,Betara,Carolina Whiting,Menticirrhus spp.,4510
2014,1,Teleósteos,Bonito-cachorro,Bonito,Auxis thazard,4383
2014,1,Teleósteos,Bonito-listrado,Skipjack tuna,Katsuwonus pelamis,1165318
2014,1,Teleósteos,Cabra,East Atlantic Red Gurnard,Prionotus spp.,50010
2014,1,Teleósteos,Cangoá,Cangoá,NA,50
2014,1,Teleósteos,Castanha,Argentine croaker,Umbrina canosai,57084
2014,1,Teleósteos,Cavala,Chub mackerel,Scomberomorus cavalla,20
2014,1,Teleósteos,Congro-rosa,Australian Rockling,Genypterus brasiliensis,3600
2014,1,Teleósteos,Corcoroca,Grey Grunt,Haemulon spp.,10990
2014,1,Teleósteos,Corvina,Croaker,Micropogonias furnieri,530972
2014,1,Teleósteos,Dourado,Common dolphifish,Coryphaena hippurus,5860
2014,1,Teleósteos,Enchova,Ancho,Pomatomus saltatrix,1120
2014,1,Teleósteos,Enguia,Common Eel,Conger orbignyanus,180
2014,1,Teleósteos,Espada,Broadbill,Xiphias gladius,19776
2014,1,Teleósteos,Ferrinho,Ferrinho,NA,600
2014,1,Teleósteos,Galo,American John Dory,Zenopsis conchifer,1540
2014,1,Teleósteos,Galo-de-profundidade,American John Dory,Zenopsis conchifer,2000
2014,1,Teleósteos,Goete,Jamaica weakfish,Cynoscion jamaicensis,10380
2014,1,Teleósteos,Gordinho,Angelfish,Pomacanthus arcuatus,4780
2014,1,Teleósteos,Guaivira,Jack,Oligoplites spp.,680
2014,1,Teleósteos,Lanceta,Lanceta,NA,100
2014,1,Teleósteos,Linguado,Flatfish,Paralichthys spp.,26491
2014,1,Teleósteos,Linguado-areia,Flatfish,NA,13894
2014,1,Teleósteos,Mangangá,Mangangá,NA,560
2014,1,Teleósteos,Maria-mole,Maria-mole,Cynoscion guatucupa,96680
2014,1,Teleósteos,Marimbá,Porgy,NA,680
2014,1,Teleósteos,Meca,Meca,NA,12801
2014,1,Teleósteos,Merluza,Hake,Merluccius hubbsi,58180
2014,1,Teleósteos,Miracéu,Stargazer,NA,100
2014,1,Teleósteos,Olho-de-cão,Olho-de-cão,Priacanthus spp.,620
2014,1,Teleósteos,Palombeta,Leerfish,Chloroscombrus chrysurus,186906
2014,1,Teleósteos,Pampo,Pampo,Trachinotus spp.,530
2014,1,Teleósteos,Pargo-rosa,Common sea bream,Pagrus pagrus,20
2014,1,Teleósteos,Paru,Paru,NA,40
2014,1,Teleósteos,Peixe-porco,Angular roughshark,Oxynotus centrina,19120
2014,1,Teleósteos,Peixe-sapo,Anglerfish,Lophius gastrophysus,14680
2014,1,Teleósteos,Pescada,Weakfish,Cynoscion spp.,8164
2014,1,Teleósteos,Pescada-amarela,Acoupa weakfish,Cynoscion acoupa,1750
2014,1,Teleósteos,Pescada-branca,Weakfish,Cynoscion leiarchus,520
2014,1,Teleósteos,Pescada-cambucu,Weakfish,NA,140
2014,1,Teleósteos,Pescadinha-real,Bangamary,Macrodon ancylodon,2760
2014,1,Teleósteos,Pijirica,Pijirica,NA,20
2014,1,Teleósteos,Prego,Prego,NA,278
2014,1,Teleósteos,Sardinha-lage,Atlantic thread herring,Opisthonema oglinum,2251
2014,1,Teleósteos,Tira-vira,Brazilian flathead,Percophis brasiliensis,2880
2014,1,Teleósteos,Trilha,Argentine goatfish,Mullus argentinae,700
2014,2,Crustáceos,Camarão-barba-ruça,Camarão-barba-ruça,Artemesia longinaris,512111
2014,2,Crustáceos,Camarão-cristalino,Shrimp,NA,18828
2014,2,Crustáceos,Camarão-rosa,Shrimp,Farfantepenaeus paulensis,22112
2014,2,Crustáceos,Camarão-santana,Shrimp,Pleoticus muelleri,9062
2014,2,Crustáceos,Camarão-santana + barba-ruca,Camarão-santana + barba-ruca,NA,6000
2014,2,Crustáceos,Camarão-sete-barbas,Shrimp,Xiphopenaeus kroyeri,800
2014,2,Crustáceos,Pitú,Pitú,NA,26895
2014,2,Crustáceos,Sapateira,Edible crab,Cancer pagurus,2805
2014,2,Elasmobrânquios,Cação-anequim,Shark,NA,888
2014,2,Elasmobrânquios,Cação-azul,Blue dog,Prionace glauca,10072
2014,2,Elasmobrânquios,Cação-bagre,Cação-bagre,NA,800
2014,2,Elasmobrânquios,Cação-martelo,Shark,NA,4629
2014,2,Elasmobrânquios,Cações,Shark,Mustelus spp,3260
2014,2,Elasmobrânquios,Caçonete,Shark,NA,340
2014,2,Elasmobrânquios,Emplastro,Emplastro,NA,58130
2014,2,Elasmobrânquios,Machote,Spinner Shark,NA,341
2014,2,Elasmobrânquios,Raia,Ray,NA,3807
2014,2,Elasmobrânquios,Ratinho,Ratinho,NA,31
2014,2,Moluscos,Lula,Squid,Loligo sanpaulensis,102310
2014,2,Moluscos,Polvo,Octopus,Octopus spp.,13900
2014,2,Não Cadastrado,Mistura,Other fish,NA,348234
2014,2,Não Cadastrado,Ovas,Ovas,NA,1300
2014,2,Teleósteos,Abrótea,Brazilian codling,Urophycis brasiliensis,70190
2014,2,Teleósteos,Abrótea-de-fundo,Brazilian codling,NA,242800
2014,2,Teleósteos,Agulhão-azul,Agulhão-azul,NA,1625
2014,2,Teleósteos,Agulhão-branco,Agulhão-branco,Tetrapturus albidus,95
2014,2,Teleósteos,Albacora-bandolim,Albacore,Thunnus obesus,5056
2014,2,Teleósteos,Albacora-branca,Albacora-branca,Thunnus alalunga,22356
2014,2,Teleósteos,Albacora-lage,Albacore,Thunnus albacares,17123.5
2014,2,Teleósteos,Bagre,Couma sea catfish,Sciades couma,3361
2014,2,Teleósteos,Batata,Atlantic goldeneye tilefish,Caulolatilus chrysops,473
2014,2,Teleósteos,Betara,Carolina Whiting,Menticirrhus spp.,2920
2014,2,Teleósteos,Bonito-cachorro,Bonito,Auxis thazard,3537
2014,2,Teleósteos,Bonito-listrado,Skipjack tuna,Katsuwonus pelamis,1130038.5
2014,2,Teleósteos,Cabra,East Atlantic Red Gurnard,Prionotus spp.,144899
2014,2,Teleósteos,Carapeba,Broad shad,Diapterus auratus,1760
2014,2,Teleósteos,Castanha,Argentine croaker,Umbrina canosai,141100
2014,2,Teleósteos,Cavala,Chub mackerel,Scomberomorus cavalla,14
2014,2,Teleósteos,Cioba,Dog Snapper,Lutjanus analis,580
2014,2,Teleósteos,Congro,Argentine Conger,Conger spp.,0
2014,2,Teleósteos,Congro-rosa,Australian Rockling,Genypterus brasiliensis,17980
2014,2,Teleósteos,Corcoroca,Grey Grunt,Haemulon spp.,2940
2014,2,Teleósteos,Corvina,Croaker,Micropogonias furnieri,1047011
2014,2,Teleósteos,Dourado,Common dolphifish,Coryphaena hippurus,1657
2014,2,Teleósteos,Enchova,Ancho,Pomatomus saltatrix,398
2014,2,Teleósteos,Enguia,Common Eel,Conger orbignyanus,200
2014,2,Teleósteos,Espada,Broadbill,Xiphias gladius,3512
2014,2,Teleósteos,Ferrinho,Ferrinho,NA,500
2014,2,Teleósteos,Galo,American John Dory,Zenopsis conchifer,28587
2014,2,Teleósteos,Goete,Jamaica weakfish,Cynoscion jamaicensis,42728
2014,2,Teleósteos,Gordinho,Angelfish,Pomacanthus arcuatus,11210
2014,2,Teleósteos,Guaivira,Jack,Oligoplites spp.,3445
2014,2,Teleósteos,Lanceta,Lanceta,NA,0
2014,2,Teleósteos,Linguado,Flatfish,Paralichthys spp.,101349
2014,2,Teleósteos,Linguado-areia,Flatfish,NA,52220
2014,2,Teleósteos,Mangangá,Mangangá,NA,2490
2014,2,Teleósteos,Maria-luiza,Maria-luiza,NA,40
2014,2,Teleósteos,Maria-mole,Maria-mole,Cynoscion guatucupa,319480
2014,2,Teleósteos,Marimbá,Porgy,NA,6620
2014,2,Teleósteos,Meca,Meca,NA,10085
2014,2,Teleósteos,Merluza,Hake,Merluccius hubbsi,90340
2014,2,Teleósteos,Miracéu,Stargazer,NA,780
2014,2,Teleósteos,Namorado,Namorado,Pseudopercis spp.,360
2014,2,Teleósteos,Olho-de-boi,Amberjack,NA,0
2014,2,Teleósteos,Olho-de-cão,Olho-de-cão,Priacanthus spp.,840
2014,2,Teleósteos,Oveva,Cabezon,Larimus breviceps,200
2014,2,Teleósteos,Palombeta,Leerfish,Chloroscombrus chrysurus,276600
2014,2,Teleósteos,Pampo,Pampo,Trachinotus spp.,1683
2014,2,Teleósteos,Pargo-rosa,Common sea bream,Pagrus pagrus,548
2014,2,Teleósteos,Paru,Paru,NA,218
2014,2,Teleósteos,Peixe-porco,Angular roughshark,Oxynotus centrina,51500
2014,2,Teleósteos,Peixe-sapo,Anglerfish,Lophius gastrophysus,25459
2014,2,Teleósteos,Peixe-tábua,Mediterranean dealfish,Trachipterus trachipterus,0
2014,2,Teleósteos,Pescada,Weakfish,Cynoscion spp.,63667
2014,2,Teleósteos,Pescada-cambucu,Weakfish,NA,120
2014,2,Teleósteos,Pescadinha-real,Bangamary,Macrodon ancylodon,10140
2014,2,Teleósteos,Pijirica,Pijirica,NA,42
2014,2,Teleósteos,Prego,Prego,NA,1129
2014,2,Teleósteos,Robalo,Snook,Centropomus spp.,73
2014,2,Teleósteos,Roncador,Barred grunt,Conodon nobilis,1680
2014,2,Teleósteos,Sardinha-lage,Atlantic thread herring,Opisthonema oglinum,93
2014,2,Teleósteos,Sardinha-verdadeira,Brazilian sardinella,Sardinella brasiliensis,50090
2014,2,Teleósteos,Sarrão,Sarrão,NA,180
2014,2,Teleósteos,Sororoca,Sororoca,Scomberomorus,20
2014,2,Teleósteos,Tira-vira,Brazilian flathead,Percophis brasiliensis,3800
2014,2,Teleósteos,Trilha,Argentine goatfish,Mullus argentinae,1505
2014,2,Teleósteos,Xarelete,Black jack,Caranx latus,10
2014,2,Teleósteos,Xaréu,Black cavalli,Caranx hippos,64962
2014,3,Crustáceos,Camarão-branco,Camarão-branco,Litopenaeus schimitti,34384
2014,3,Crustáceos,Camarão-cristalino,Shrimp,NA,53997
2014,3,Crustáceos,Pitú,Pitú,NA,25508
2014,3,Crustáceos,Sapateira,Edible crab,Cancer pagurus,1570
2014,3,Elasmobrânquios,Cação-anequim,Shark,NA,2150
2014,3,Elasmobrânquios,Cação-azul,Blue dog,Prionace glauca,48455
2014,3,Elasmobrânquios,Cação-bagre,Cação-bagre,NA,20
2014,3,Elasmobrânquios,Cação-cabeca-chata,Shark,NA,90
2014,3,Elasmobrânquios,Cação-gato,Shark,NA,500
2014,3,Elasmobrânquios,Cação-lombo-preto,Cação-lombo-preto,NA,15
2014,3,Elasmobrânquios,Cação-martelo,Shark,NA,2065
2014,3,Elasmobrânquios,Cações,Shark,Mustelus spp,10567
2014,3,Elasmobrânquios,Caçonete,Shark,NA,2699
2014,3,Elasmobrânquios,Emplastro,Emplastro,NA,72414
2014,3,Elasmobrânquios,Machote,Spinner Shark,NA,150
2014,3,Elasmobrânquios,Raia,Ray,NA,6104
2014,3,Moluscos,Lula,Squid,Loligo sanpaulensis,5808
2014,3,Moluscos,Polvo,Octopus,Octopus spp.,6996
2014,3,Não Cadastrado,Mistura,Other fish,NA,205765
2014,3,Não Cadastrado,Residuo,Residuo,NA,19774
2014,3,Teleósteos,Abrótea,Brazilian codling,Urophycis brasiliensis,80397
2014,3,Teleósteos,Abrótea-de-fundo,Brazilian codling,NA,325280
2014,3,Teleósteos,Agulhão-branco,Agulhão-branco,Tetrapturus albidus,285
2014,3,Teleósteos,Albacora-bandolim,Albacore,Thunnus obesus,4620
2014,3,Teleósteos,Albacora-branca,Albacora-branca,Thunnus alalunga,167
2014,3,Teleósteos,Albacora-lage,Albacore,Thunnus albacares,20765.5
2014,3,Teleósteos,Atum,Blow goat,Auxis rochei,23066
2014,3,Teleósteos,Bagre,Couma sea catfish,Sciades couma,4701
2014,3,Teleósteos,Batata,Atlantic goldeneye tilefish,Caulolatilus chrysops,1615
2014,3,Teleósteos,Betara,Carolina Whiting,Menticirrhus spp.,13100
2014,3,Teleósteos,Bonito-cachorro,Bonito,Auxis thazard,1535.5
2014,3,Teleósteos,Bonito-listrado,Skipjack tuna,Katsuwonus pelamis,1935402
2014,3,Teleósteos,Cabra,East Atlantic Red Gurnard,Prionotus spp.,223840
2014,3,Teleósteos,Carapeba,Broad shad,Diapterus auratus,2600
2014,3,Teleósteos,Castanha,Argentine croaker,Umbrina canosai,224490
2014,3,Teleósteos,Cavala,Chub mackerel,Scomberomorus cavalla,10
2014,3,Teleósteos,Cavalinha,American mackerel,Scomber japonicus,15418
2014,3,Teleósteos,Cioba,Dog Snapper,Lutjanus analis,1535
2014,3,Teleósteos,Congro,Argentine Conger,Conger spp.,5328
2014,3,Teleósteos,Congro-rosa,Australian Rockling,Genypterus brasiliensis,8700
2014,3,Teleósteos,Corcoroca,Grey Grunt,Haemulon spp.,5150
