#,year,month,taxa,species_portuguese,species_english,species_sci,production_kg,value_rs
1,2016,10,Crustáceo,Camarão-estuarino,Shrimp,NA,293.67,7790.97
2,2016,10,Crustáceo,Camarão-legítimo,Shrimp,Litopenaeus schimitti,645.35,29833.9
3,2016,10,Crustáceo,Camarão-sete-barbas,Seabob shrimp,Xiphopenaeus kroyeri,10576.52,100966.92
4,2016,10,Crustáceo,Camarões-rosa,Brown shrimp,NA,500,30000
5,2016,10,Crustáceo,Siri-azul,Crab,NA,592.82,14379.23
6,2016,10,Crustáceo,Siris agrupados,Crab,NA,301.76,5732.31
7,2016,10,Molusco,Lula,Squid,Loligo sanpaulensis,14,0
8,2016,10,Molusco,Mexilhão-do-mangue,Mussel,NA,115,1175
9,2016,10,Molusco,Ostra,Oyster,Crassostrea spp.,2312.3,6171.05
10,2016,10,Peixe Cartilaginoso,Cação-rola-rola,Shark,NA,6,72
11,2016,10,Peixe Cartilaginoso,Cações agrupados,Shark,NA,224,4192
12,2016,10,Peixe Cartilaginoso,Cambeva,Bronze hammerhead shark,Sphyrna lewini,15,180
13,2016,10,Peixe Cartilaginoso,Raias agrupadas,Ray,NA,78,216.25
14,2016,10,Peixe Cartilaginoso,Viola,Common guitarfish,Rhinobatos rhinobatos,103.8,1577.96
15,2016,10,Peixe Ósseo,Acará,Acará,NA,2,0
16,2016,10,Peixe Ósseo,Atuns agrupados,Tuna,NA,10,74.6
17,2016,10,Peixe Ósseo,Bagre,Couma sea catfish,Sciades couma,3,22.65
18,2016,10,Peixe Ósseo,Bagre-amarelo,Gillbacker sea catfish,Sciades parkeri,442.5,1934.2
19,2016,10,Peixe Ósseo,Bagre-branco,Catfish,Sciades proops,2721.2,17281.82
20,2016,10,Peixe Ósseo,Baiacú,trunkfish,NA,309,3375.3
21,2016,10,Peixe Ósseo,Betara,Carolina Whiting,Menticirrhus spp.,1269,4397.8
22,2016,10,Peixe Ósseo,Bicuda,European barracuda,Sphyraena tome,2.7,0
23,2016,10,Peixe Ósseo,Carapeba,Broad shad,Diapterus auratus,79,254.7
24,2016,10,Peixe Ósseo,Caratinga,Mojarra,NA,54.5,355.6
25,2016,10,Peixe Ósseo,Cascudo,Atlantic searobin,Prionotus punctatus,130,1231.33
26,2016,10,Peixe Ósseo,Cavalas agrupadas,Wahoo,NA,1123,11327.38
27,2016,10,Peixe Ósseo,Cioba,Dog Snapper,Lutjanus analis,2,0
28,2016,10,Peixe Ósseo,Corvina,Croaker,Micropogonias furnieri,1483.8,12161.29
29,2016,10,Peixe Ósseo,Enchova,Ancho,Pomatomus saltatrix,10,40
30,2016,10,Peixe Ósseo,Espada,Broadbill,Xiphias gladius,75.2,441.04
31,2016,10,Peixe Ósseo,Galo,American John Dory,Zenopsis conchifer,22,143
32,2016,10,Peixe Ósseo,Guaivira,Jack,Oligoplites spp.,643,2708.5
33,2016,10,Peixe Ósseo,Lambari,Lambari,NA,0.5,0
