species_portuguese,species_english,species_sci,year,month,price_rs,production_kg,value_rs,origin
Abrótea,Brazilian codling,Urophycis brasiliensis,2016,1,5.05,41035,207227,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2016,2,4.71,49100,231261,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2016,3,4.93,57540,283672,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2016,4,4.37,90538,395651,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2016,5,4.33,33248,143964,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2016,6,4.33,49220,213123,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2016,7,2.96,71381,211288,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2016,8,3.41,64014,218288,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2016,9,3.93,42846,168385,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2016,10,5.05,24738,124927,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2016,11,4.72,48850,230572,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2016,12,4.12,32790,135095,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2017,1,5.03,61528,309486,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2017,2,4.33,48580,210351,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2017,3,4.3,90370,388591,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2017,4,5.56,63181,351286,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2017,5,4.73,54710,258778,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2017,6,5.11,55161,281873,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2017,7,3.98,95547,380277,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2017,8,3.74,886666,3316131,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2017,9,4.01,62050,248821,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2017,10,4.23,58460,247286,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2017,11,4.65,46019,213988,extraction
Abrótea,Brazilian codling,Urophycis brasiliensis,2017,12,4.3,43213,185816,extraction
Anchovas,Anchovas,NA,2016,1,8.67,39560,342985,extraction
Anchovas,Anchovas,NA,2016,2,9.49,38960,369730,extraction
Anchovas,Anchovas,NA,2016,3,11.13,66096,735648,extraction
Anchovas,Anchovas,NA,2016,4,11.4,54032,615965,extraction
Anchovas,Anchovas,NA,2016,5,10.24,39583,405330,extraction
Anchovas,Anchovas,NA,2016,6,5.87,83872,492329,extraction
Anchovas,Anchovas,NA,2016,7,4.59,85804,393840,extraction
Anchovas,Anchovas,NA,2016,8,6.26,53969,337846,extraction
Anchovas,Anchovas,NA,2016,9,5.67,47726,270606,extraction
Anchovas,Anchovas,NA,2016,10,8.22,22159,182147,extraction
Anchovas,Anchovas,NA,2016,11,6.34,65183,413260,extraction
Anchovas,Anchovas,NA,2016,12,6.59,21258,140090,extraction
Anchovas,Anchovas,NA,2017,1,8.98,29558,265431,extraction
Anchovas,Anchovas,NA,2017,2,10.33,13195,136304,extraction
Anchovas,Anchovas,NA,2017,3,12.04,12413,149453,extraction
Anchovas,Anchovas,NA,2017,4,12.36,58865,727571,extraction
Anchovas,Anchovas,NA,2017,5,8.95,66875,598531,extraction
Anchovas,Anchovas,NA,2017,6,7.28,34424,250607,extraction
Anchovas,Anchovas,NA,2017,7,5.78,64662,373746,extraction
Anchovas,Anchovas,NA,2017,8,8.47,84248,713581,extraction
Anchovas,Anchovas,NA,2017,9,9.17,33262,305013,extraction
Anchovas,Anchovas,NA,2017,10,9.26,45233,418858,extraction
Anchovas,Anchovas,NA,2017,11,7.46,34760,259310,extraction
Anchovas,Anchovas,NA,2017,12,6.82,37980,259024,extraction
Atum,Tuna,tunnus spp,2016,1,13.52,67944,918603,extraction
Atum,Tuna,tunnus spp,2016,2,14.3,87864,1256455,extraction
Atum,Tuna,tunnus spp,2016,3,24,121633,2919192,extraction
Atum,Tuna,tunnus spp,2016,4,15.85,90710,1437754,extraction
Atum,Tuna,tunnus spp,2016,5,15.85,69727,1105173,extraction
Atum,Tuna,tunnus spp,2016,6,14.6,86582,1264097,extraction
Atum,Tuna,tunnus spp,2016,7,17.07,112388,1918463,extraction
Atum,Tuna,tunnus spp,2016,8,12.48,91922,1147187,extraction
Atum,Tuna,tunnus spp,2016,9,13.19,110060,1451691,extraction
Atum,Tuna,tunnus spp,2016,10,9.87,93712,924937,extraction
