year,month,taxa,species_portuguese,species_english,species_sci,production_kg
2000,1,Crustáceos,Camarão-barba-ruça,Shrimp,Artemesia longinaris,378666
2000,1,Crustáceos,Camarão-branco,Camarão-branco,Litopenaeus schimitti,10
2000,1,Crustáceos,Camarão-cristalino,Shrimp,NA,1952
2000,1,Crustáceos,Camarão-rosa,Shrimp,Farfantepenaeus paulensis,3345
2000,1,Crustáceos,Camarão-santana,Shrimp,Pleoticus muelleri,19762
2000,1,Crustáceos,Camarão-sete-barbas,Shrimp,Xiphopenaeus kroyeri,1026
2000,1,Crustáceos,Pitú,Pitú,NA,780
2000,1,Crustáceos,Sapateira,Edible crab,Cancer pagurus,425
2000,1,Elasmobrânquios,Cação-anequim,Shark,NA,2183
2000,1,Elasmobrânquios,Cação-anjo,Shark,NA,16818
2000,1,Elasmobrânquios,Cação-azul,Blue dog,Prionace glauca,30786
2000,1,Elasmobrânquios,Cação-baia,Cação-baia,NA,289
2000,1,Elasmobrânquios,Cação-gato,Shark,NA,1420
2000,1,Elasmobrânquios,Cação-mangona,NA,NA,154
2000,1,Elasmobrânquios,Cação-martelo,Shark,NA,6454
2000,1,Elasmobrânquios,Cações,Shark,Mustelus spp,5771
2000,1,Elasmobrânquios,Caçonete,Shark,NA,14078
2000,1,Elasmobrânquios,Emplastro,Emplastro,NA,9085
2000,1,Elasmobrânquios,Machote,Spinner Shark,NA,2360
2000,1,Elasmobrânquios,Raia,Ray,NA,3951
2000,1,Elasmobrânquios,Raia-viola,NA,NA,8830
2000,1,Elasmobrânquios,Raposa,Raposa,NA,962
2000,1,Elasmobrânquios,Ratinho,Ratinho,NA,100
2000,1,Moluscos,Lula,Squid,Loligo sanpaulensis,119664
2000,1,Moluscos,Polvo,Octopus,Octopus spp.,1982
2000,1,Não Cadastrado,Diversos,NA,NA,1034
2000,1,Não Cadastrado,Mistura,Other fish,NA,138854
2000,1,Não Cadastrado,Residuo,Residuo,NA,1157
2000,1,Teleósteos,Abrótea,Brazilian codling,Urophycis brasiliensis,81200
2000,1,Teleósteos,Agulhão,Atlantic saury,Scomberesox saurus,551
2000,1,Teleósteos,Agulhão-azul,Agulhão-azul,NA,3031
2000,1,Teleósteos,Agulhão-maka,NA,NA,113
2000,1,Teleósteos,Albacora-bandolim,Albacore,Thunnus obesus,1940
2000,1,Teleósteos,Albacora-branca,Albacora-branca,Thunnus alalunga,2411
2000,1,Teleósteos,Albacora-lage,Albacore,Thunnus albacares,49983
2000,1,Teleósteos,Atum,Blow goat,Auxis rochei,36603
2000,1,Teleósteos,Bacho,NA,NA,14
2000,1,Teleósteos,Bagre,Couma sea catfish,Sciades couma,3708
2000,1,Teleósteos,Batata,Atlantic goldeneye tilefish,Caulolatilus chrysops,4332
2000,1,Teleósteos,Betara,Carolina Whiting,Menticirrhus spp.,15990
2000,1,Teleósteos,Bonito-cachorro,Bonito,Auxis thazard,1866
2000,1,Teleósteos,Bonito-listrado,Skipjack tuna,Katsuwonus pelamis,2200603
2000,1,Teleósteos,Cabra,East Atlantic Red Gurnard,Prionotus spp.,17640
2000,1,Teleósteos,Carapau,Jack mackerel,Trachurus lathami,3280
2000,1,Teleósteos,Castanha,Argentine croaker,Umbrina canosai,19380
2000,1,Teleósteos,Cavala,Chub mackerel,Scomberomorus cavalla,59
2000,1,Teleósteos,Cavalinha,American mackerel,Scomber japonicus,21020
2000,1,Teleósteos,Cherne,Grouper,NA,13112
2000,1,Teleósteos,Cherne-poveiro,Atlantic wreckfish,Polyprion americanus,352
2000,1,Teleósteos,Cioba,Dog Snapper,Lutjanus analis,20
