year,month,taxa,species_portuguese,species_english,species_sci,production_kg,value_rs
2014,1,Crustáceo,Camarão-cristalino,Shrimp,NA,1096,8768
2014,1,Crustáceo,Camarão-estuarino,Shrimp,NA,2827.08,49786.92
2014,1,Crustáceo,Camarão-ferrinho,Shrimp,NA,2800,0
2014,1,Crustáceo,Camarão-legítimo,Shrimp,Litopenaeus schimitti,1452,44457.85
2014,1,Crustáceo,Camarão-rosa,Shrimp,Farfantepenaeus paulensis,20865.7,801232.02
2014,1,Crustáceo,Camarão-santana,Shrimp,Pleoticus muelleri,303,3360
2014,1,Crustáceo,Camarão-sete-barbas,Shrimp,Xiphopenaeus kroyeri,78628.57,702966.42
2014,1,Crustáceo,Caranguejo-uçá,Crab,NA,13142.25,98635.5
2014,1,Crustáceo,Lagosta,Lobster,Panulirus laevicauda,114.9,5347.77
2014,1,Crustáceo,Lagostim,Norway lobster,Metanephrops rubellus,1802,21824
2014,1,Crustáceo,Lagostim-de-iguape,Crayfish,NA,0.4,0
2014,1,Crustáceo,Pitú-de-iguape,Crayfish,NA,718.69,19003.81
2014,1,Crustáceo,Sapateira,Edible crab,Cancer pagurus,81,1690
2014,1,Crustáceo,Siri-azul,Crab,NA,5310.2,52509.29
2014,1,Crustáceo,Siri-candeia,Crab,NA,200.5,399.5
2014,1,Crustáceo,Siris agrupados,Crab,NA,280.54,1085.28
2014,1,Molusco,Berbigão,Cockle,Anomalocardia brasiliana,90,500
2014,1,Molusco,Lula,Squid,Loligo sanpaulensis,31358.1,421483.29
2014,1,Molusco,Mexilhão,Mussel,Perna perna,5440.3,51294.25
2014,1,Molusco,Mexilhão-do-mangue,Mussel,NA,60.5,332.88
2014,1,Molusco,Ostra,Oyster,Crassostrea spp.,406.76,1321.97
2014,1,Molusco,Polvo,Octopus,Octopus spp.,27666.6,406765.13
2014,1,Molusco,Saquaritá,Bivalve,NA,15,37.5
2014,1,Peixe Cartilaginoso,Anequim,Beaumaris shark,Lamna nasus,462,3700
2014,1,Peixe Cartilaginoso,Cação-anjo,Shark,NA,22.82,80.38
2014,1,Peixe Cartilaginoso,Cação-azul,Blue dog,Prionace glauca,216.5,2449.25
2014,1,Peixe Cartilaginoso,Cação-galha-preta,Shark,NA,114.1,1143.8
2014,1,Peixe Cartilaginoso,Cação-rola-rola,Shark,NA,509.24,4005.33
2014,1,Peixe Cartilaginoso,Cações agrupados,Shark,NA,11692.9,93113.29
2014,1,Peixe Cartilaginoso,Cambeva,Bronze hammerhead shark,Sphyrna lewini,757.5,3664.75
2014,1,Peixe Cartilaginoso,Machote,Spinner Shark,NA,178,2061.38
2014,1,Peixe Cartilaginoso,Mestiço,Catfish,NA,4,30
2014,1,Peixe Cartilaginoso,Raia-emplastro,Ray,NA,2677,2485.1
2014,1,Peixe Cartilaginoso,Raia-emplastro-castelnaui,Ray,NA,15,15
2014,1,Peixe Cartilaginoso,Raias agrupadas,Ray,NA,1662.7,2977.06
2014,1,Peixe Cartilaginoso,Tintureira,Blue shark,Prionace glauca,36.73,183.65
2014,1,Peixe Cartilaginoso,Viola,Common guitarfish,Rhinobatos rhinobatos,142.44,1552.55
2014,1,Peixe Ósseo,Abrótea,Brazilian codling,Urophycis brasiliensis,7901.5,18830.53
2014,1,Peixe Ósseo,Agulha,Garfish,Hyporhamphus,131,203.35
2014,1,Peixe Ósseo,Atuns agrupados,Tuna,NA,10,60
2014,1,Peixe Ósseo,Badejo,Whiting,Mycteroperca spp.,51,688
2014,1,Peixe Ósseo,Badejo-mira,Comb grouper,Mycteroperca rubra,31.5,140.75
2014,1,Peixe Ósseo,Bagre,Couma sea catfish,Sciades couma,271.4,677.73
2014,1,Peixe Ósseo,Bagre-africano,African catfish,Clarias gariepinus,3.5,0
2014,1,Peixe Ósseo,Bagre-amarelo,Gillbacker sea catfish,Sciades parkeri,698.8,1538.3
2014,1,Peixe Ósseo,Bagre-branco,Catfish,Sciades proops,4979.5,13303.77
2014,1,Peixe Ósseo,Baiacú,trunkfish,NA,17.5,48.13
2014,1,Peixe Ósseo,Batata,Atlantic goldeneye tilefish,Caulolatilus chrysops,1828,10242
2014,1,Peixe Ósseo,Betara,Carolina Whiting,Menticirrhus spp.,39788.99,103283.83
2014,1,Peixe Ósseo,Bicuda,European barracuda,Sphyraena tome,1217.81,7317.55
2014,1,Peixe Ósseo,Bonito-cachorra,skipjack tuna,NA,1268,2084
2014,1,Peixe Ósseo,Bonito-pintado,Atlantic black skipjack,Euthynnus alletteratus,586,1371.15
2014,1,Peixe Ósseo,Bonitos agrupados,skipjack tuna,NA,1252.7,2703.43
2014,1,Peixe Ósseo,Budião,parrotfish,Sparisoma spp.,120.8,1268.4
2014,1,Peixe Ósseo,Cabrinha,East Atlantic Red Gurnard,Prionotus spp.,9039,12400.83
2014,1,Peixe Ósseo,Caranha,Dog Snapper,Lutjanus spp.,64.5,1010.8
