year,month,taxa,species_portuguese,species_english,species_sci,production_kg,value_rs
1998,1,Crustáceo,Camarão-estuarino,Shrimp,NA,4,0
1998,1,Crustáceo,Camarão-legítimo,Shrimp,Litopenaeus schimitti,1800,8206.6
1998,1,Crustáceo,Camarão-rosa,Shrimp,Farfantepenaeus paulensis,19489,0
1998,1,Crustáceo,Camarão-sete-barbas,Shrimp,Xiphopenaeus kroyeri,181772,90084.69
1998,1,Crustáceo,Caranguejo-uçá,Crab,NA,1140.71,0
1998,1,Crustáceo,Lagosta,Lobster,Panulirus laevicauda,32,262
1998,1,Crustáceo,Pitú-de-iguape,Crayfish,NA,6,0
1998,1,Crustáceo,Sapateira,Edible crab,Cancer pagurus,4,0
1998,1,Crustáceo,Siri-azul,Crab,NA,367,0
1998,1,Molusco,Lula,Squid,Loligo sanpaulensis,40056,0
1998,1,Molusco,Polvo,Octopus,Octopus spp.,8511,0
1998,1,Molusco,Vieira,Vieira,NA,12,0
1998,1,Peixe Cartilaginoso,Cação-anjo,Shark,NA,33962,0
1998,1,Peixe Cartilaginoso,Cação-rola-rola,Shark,NA,698,366.17
1998,1,Peixe Cartilaginoso,Cações agrupados,Shark,NA,69991,5954.32
1998,1,Peixe Cartilaginoso,Raias agrupadas,Ray,NA,5565,4.5
1998,1,Peixe Cartilaginoso,Viola,Common guitarfish,Rhinobatos rhinobatos,1215,25
1998,1,Peixe Ósseo,Abrótea,Brazilian codling,Urophycis brasiliensis,330,0
1998,1,Peixe Ósseo,Agulha,Garfish,Hyporhamphus,200,0
1998,1,Peixe Ósseo,Agulhão-branco,Agulhão-branco,Tetrapturus albidus,345,0
1998,1,Peixe Ósseo,Agulhão-vela platypterus,Agulhão-vela platypterus,NA,1718,0
1998,1,Peixe Ósseo,Atuns agrupados,Tuna,NA,3973,0
1998,1,Peixe Ósseo,Bagre,Couma sea catfish,Sciades couma,24097,349
1998,1,Peixe Ósseo,Bagre-amarelo,Gillbacker sea catfish,Sciades parkeri,4,1.6
1998,1,Peixe Ósseo,Batata,Atlantic goldeneye tilefish,Caulolatilus chrysops,3492,0
1998,1,Peixe Ósseo,Betara,Carolina Whiting,Menticirrhus spp.,13847,5719.13
1998,1,Peixe Ósseo,Bicuda,European barracuda,Sphyraena tome,2000,0
1998,1,Peixe Ósseo,Bonito-gaiado,Bonito-gaiado,NA,70,0
1998,1,Peixe Ósseo,Bonitos agrupados,skipjack tuna,NA,645,0
1998,1,Peixe Ósseo,Bonito-serrinha,Bonito-serrinha,NA,619,0
1998,1,Peixe Ósseo,Cabrinha,East Atlantic Red Gurnard,Prionotus spp.,45,0
1998,1,Peixe Ósseo,Caranha,Dog Snapper,Lutjanus spp.,39,35.5
1998,1,Peixe Ósseo,Carapau,Jack mackerel,Trachurus lathami,65760,0
1998,1,Peixe Ósseo,Carapeba,Broad shad,Diapterus auratus,13,9
1998,1,Peixe Ósseo,Carpa,Common carp,Cyprinus carpio,6,0
1998,1,Peixe Ósseo,Cascudo,Atlantic searobin,Prionotus punctatus,11,0
1998,1,Peixe Ósseo,Cavala,Chub mackerel,Scomberomorus cavalla,58,116
1998,1,Peixe Ósseo,Chernes agrupados,Chernes agrupados,NA,7740,5
1998,1,Peixe Ósseo,Congro-rosa,Australian Rockling,Genypterus brasiliensis,21,0
1998,1,Peixe Ósseo,Corvina,Bashaw,Micropogonias furnieri,61802,1619.59
1998,1,Peixe Ósseo,Curimbatá,Curimbatá,NA,200,0
1998,1,Peixe Ósseo,Dourado,Common dolphifish,Coryphaena hippurus,178703,0
1998,1,Peixe Ósseo,Enchova,Ancho,Pomatomus saltatrix,39970,136.8
1998,1,Peixe Ósseo,Escolar,Escolar,NA,40,0
1998,1,Peixe Ósseo,Espada,Broadbill,Xiphias gladius,12927,22.4
1998,1,Peixe Ósseo,Espadarte,Swordfish,Xiphias gladius,26440,0
1998,1,Peixe Ósseo,Galo,American John Dory,Zenopsis conchifer,1353,0
1998,1,Peixe Ósseo,Garoupa,Deady,Epinephelus spp.,2856,686
1998,1,Peixe Ósseo,Goete,Jamaica weakfish,Cynoscion jamaicensis,82946,67.2
1998,1,Peixe Ósseo,Guaivira,Jack,Oligoplites spp.,4048,2070.9
1998,1,Peixe Ósseo,Linguado,Flatfish,Paralichthys spp.,8535,50
1998,1,Peixe Ósseo,Mandi,catfish,NA,25,0
1998,1,Peixe Ósseo,Manjuba-de-iguape,anchovy,NA,53811,0
