species_portuguese,sci_name,species_english,
Camarão-cristalino,,Shrimp,
Camarão-estuarino,,Shrimp,
Camarão-ferrinho,,Shrimp,
Camarão-legítimo,Litopenaeus schimitti,Shrimp,
Camarão-rosa,Farfantepenaeus paulensis,Shrimp,
Camarão-santana,Pleoticus muelleri,Shrimp,
Camarão-sete-barbas,Xiphopenaeus kroyeri,Shrimp,
Caranguejo-uçá,,Crab,
Lagosta,Panulirus laevicauda,Lobster,
Lagostim,Metanephrops rubellus,Norway lobster,
Lagostim-de-iguape,,Crayfish,
Pitú-de-iguape,,Crayfish,
Sapateira,Cancer pagurus,Edible crab,
Siri-azul,,Crab,
Siri-candeia,,Crab,
Siris agrupados,,Crab,
Berbigão,Anomalocardia brasiliana,Cockle,
Lula,Loligo sanpaulensis,Squid,
Mexilhão,Perna perna,Mussel,
Mexilhão-do-mangue,,Mussel,
Ostra,Crassostrea spp.,Oyster,
Polvo,Octopus spp.,Octopus,
Saquaritá,,Bivalve,
Anequim,Lamna nasus,Beaumaris shark,
Cação-anjo,,Shark,
Cação-azul,Prionace glauca,Blue dog,
Cação-galha-preta,,Shark,
Cação-rola-rola,,Shark,
Cações agrupados,,Shark,
Cambeva,Sphyrna lewini,Bronze hammerhead shark,
Machote,,Spinner Shark,
Mestiço,,Catfish,
Raia-emplastro,,Ray,
Raia-emplastro-castelnaui,,Ray,
Raias agrupadas,,Ray,
Tintureira,Prionace glauca,Blue shark,
Viola,Rhinobatos rhinobatos,Common guitarfish,
Abrótea,Urophycis brasiliensis,Brazilian codling,
Agulha,Hyporhamphus,Garfish,
Atuns agrupados,,Tuna,
Badejo,Mycteroperca spp.,Whiting,
Badejo-mira,Mycteroperca rubra,Comb grouper,
Bagre,Sciades couma,Couma sea catfish,
Bagre-africano,Clarias gariepinus,African catfish,
Bagre-amarelo,Sciades parkeri,Gillbacker sea catfish,
Bagre-branco,Sciades proops,Catfish,
Baiacú,,trunkfish,
Batata,Caulolatilus chrysops,Atlantic goldeneye tilefish,
Betara,Menticirrhus spp.,Carolina Whiting,
Bicuda,Sphyraena tome,European barracuda,
Bonito-cachorra,,skipjack tuna,
Bonito-pintado,Euthynnus alletteratus,Atlantic black skipjack,
Bonitos agrupados,,skipjack tuna,
Budião,Sparisoma spp.,parrotfish,
Cabrinha,Prionotus spp.,East Atlantic Red Gurnard,
Caranha,Lutjanus spp.,Dog Snapper,
Carapau,Trachurus lathami,Jack mackerel,
Carapeba,Diapterus auratus,Broad shad,
Caraputanga,Lutjanus purpureus,American red,
Caratinga,,Mojarra,
Castanha,Umbrina canosai,Argentine croaker,
Cavala,Scomberomorus cavalla,Chub mackerel,
Cavalinha,Scomber japonicus,American mackerel,
Cavalinha-do-norte,Thyrsitops lepidopoides,Caballa,
Cherne,,Grouper,
Cioba,Lutjanus analis,Dog Snapper,
Congro,Conger spp.,Argentine Conger,
Congro-rosa,Genypterus brasiliensis,Australian Rockling,
Corvina,Micropogonias furnieri,Bashaw,
Dourado,Coryphaena hippurus,Common dolphifish,
Enchova,Pomatomus saltatrix,Ancho,
Espada,Xiphias gladius,Broadbill,
Espadarte,Xiphias gladius,Swordfish,
Galo,Zenopsis conchifer,American John Dory,
Galo-de-penacho,Selene setapinnis,Atlantic Moonfish,
Garoupa,Epinephelus spp.,Deady,
Goete,Cynoscion jamaicensis,Jamaica weakfish,
Gordinho,Pomacanthus arcuatus,Angelfish,
Guaivira,Oligoplites spp.,Jack,
Lagarto,,Lizardfish,
Linguado,Paralichthys spp.,Flatfish,
Linguado-areia,,Flatfish,
Mandi,,catfish,
Manjuba-chata,,anchovy,
Manjuba-de-iguape,,anchovy,
Manjubas agrupadas,,anchovy,
Maria-luíza,,Croaker,
Maria-mole,Cynoscion guatucupa,Maria-mole,
Marimbá,,Porgy,
Merluza,Merluccius hubbsi,Hake,
Miracéu,,Stargazer,
Miraguaia,,Miraguaia,
Mistura,,Mistura,
Namorado,Pseudopercis spp.,Namorado,
Nundiá,,Nundiá,
Olhete,Seriola lalandi,Amberjack,
Olho-de-boi,,Amberjack,
Olho-de-cão,Priacanthus spp.,Olho-de-cão,
Oveva,Larimus breviceps,Cabezon,
Palombeta,Chloroscombrus chrysurus,Leerfish,
Pampo,Trachinotus spp.,Pampo,
Pampo-galhudo,,Pampo-galhudo,
Pararê,,Pararê,
Parati,,Mullet,
Pargo-rosa,Pagrus pagrus,Common sea bream,
Paru,,Paru,
Peixe-voador,Hirundichthys affinis,Flying fish,
Pescada-amarela,Cynoscion acoupa,Acoupa weakfish,
Pescada-banana,,Weakfish,
Pescada-branca,Cynoscion leiarchus,Weakfish,
Pescada-cambucu,,Weakfish,
Pescada-dentão,,Weakfish,
Pescada-foguete,,Weakfish,
Pescadas agrupadas,,Weakfish,
Pirajica,Kyphosus spp.,Pirajica,
Porco,,Porco,
Porco-chinelo,,Porco-chinelo,
Porco-peludo,,Porco-peludo,
