region,year,PIB_fish,PIB_total
XV,2013,20,969
XV,2014,30,1035
XV,2015,17,1173
XV,2016,13,1271
I,2013,44,3214
I,2014,48,3462
I,2015,37,3403
I,2016,21,3550
II,2013,8,13843
II,2014,21,15077
II,2015,16,14596
II,2016,15,14572
III,2013,19,3736
III,2014,12,3506
III,2015,18,3160
III,2016,20,3495
IV,2013,14,3990
IV,2014,13,4240
IV,2015,13,4256
IV,2016,13,4578
V,2013,11,11379
V,2014,13,12113
V,2015,15,13555
V,2016,15,14609
RM,2013,0,57907
RM,2014,0,61603
RM,2015,0,67267
RM,2016,0,71556
VI,2013,1,6109
VI,2014,1,6709
VI,2015,1,7302
VI,2016,1,7732
VII,2013,2,4232
VII,2014,1,4618
VII,2015,2,5462
VII,2016,2,5744
VIII,2013,69,9735
VIII,2014,132,10867
VIII,2015,132,12160
VIII,2016,135,12938
IX,2013,0,3315
IX,2014,0,3531
IX,2015,0,4010
IX,2016,0,4420
XIV,2013,13,3827
XIV,2014,26,4595
XIV,2015,22,4747
XIV,2016,31,5283
XI,2013,173,728
XI,2014,430,1016
XI,2015,194,835
XI,2016,274,995
XII,2013,15,1398
XII,2014,39,1545
XII,2015,26,1555
XII,2016,50,1718
X,2013,231,3827
X,2014,528,4595
X,2015,308,4747
X,2016,370,5283
