"year","region","grupo_exportacion","tons","value"
2013,0,"algas",26.80996,51230
2013,0,"almejas",0.41474,40
2013,0,"bacalado_profundo",0.02402,44.79
2013,0,"caracol",0.09747,187.5
2013,0,"centolla",0.12533,710.04
2013,0,"culengues",0.00066,15
2013,0,"erizo",0.04066,72.82
2013,0,"jaiba",0.00066,15
2013,0,"jurel",3.865,1350
2013,0,"langostinos",0.35016,1658.3
2013,0,"loco",0.03125,50
2013,0,"macha",0.00066,15
2013,0,"mejillones",1.42695,1181.19
2013,0,"merluza",0.32983,149.66
2013,0,"navajas",0.08446,181
2013,0,"navajuelas",0.00353,45.6
2013,0,"ostion",0.01127,50.9
2013,0,"pez espada",13.05225,56022.4
2013,0,"reineta",0.25966,314.24
2013,0,"salmon",0.53612,1199.39
2013,0,"salmones",28.36183,122497.69
2013,0,"sardinas",0.0045,200
2013,0,"trucha",0.407,2930.92
2013,1,"algas",10871.0768,16727568.63
2013,1,"bacalado_profundo",0.521,10365.73
2013,1,"erizo",5.8425,74856.9
2013,1,"jurel",75.395,44060.45
2013,1,"mejillones",25.5,83507.84
2013,1,"salmones",20.90754,86932.88
2013,2,"algas",8792.143,14240032.85
2013,2,"salmon",24.2,80675
2013,2,"salmones",45.00069,338932.76
2013,2,"sardinas",24.15,14950
2013,3,"algas",28186.7288,40563755.15
2013,3,"bacalado_profundo",27.58518,686667.03
2013,3,"erizo",2.709,35151.44
2013,3,"pez espada",40.19203,244317.04
2013,4,"abalones",0.51751,10838.92
2013,4,"algas",19258.635,32905474.62
2013,4,"bacalado_profundo",37.72548,963740.94
2013,4,"camaron",179.5128,1840757.66
2013,4,"caracol",55.717,383163.95
2013,4,"centolla",2.517,30039.08
2013,4,"cojinobas",3.9955,3615.6
2013,4,"jaiba",2.298,40932
2013,4,"jurel",1907.4379,2795734.75
2013,4,"langostas",15.032,517578.45
2013,4,"langostinos",289.45584,4951492.64
2013,4,"mejillones",10.63,23035.71
2013,4,"merluza",0.355,2085.9
2013,4,"ostion",74.4982,696940.46
2013,4,"ostras",8.063,374091.51
2013,4,"pez espada",1221.80959,10030542.79
2013,4,"salmones",106.46276,751318.52
2013,4,"trucha",25.184,152764.71
2013,5,"abalones",0.35651,7099.05
2013,5,"algas",3732.33626,6829340.95
2013,5,"anguilas",70.8,153098
2013,5,"bacalado_profundo",223.84843,4491977.77
2013,5,"camaron",258.76017,2565617
2013,5,"caracol",0.968,8098.72
2013,5,"centolla",278.85168,2692753
2013,5,"congrio",3.235,38391.46
2013,5,"gamba",1.12273,4200
2013,5,"jaiba",103.5938,727851.96
2013,5,"langostas",0.73,23417.21
2013,5,"loco",5.949,120763.42
2013,5,"mejillones",285.5235,732665.45
2013,5,"merluza",25.03748,144262.53
2013,5,"pez espada",20.021,164828.33
2013,5,"salmon",39.1415,135232.13
2013,5,"salmones",334.94233,2326883.64
2013,5,"trucha",50.0625,191663.88
2013,6,"algas",744.3557,1958820.04
2013,6,"ostion",1.831,14581.3
2013,6,"salmon",465.09156,1622429.29
2013,6,"salmones",230.29296,1402395.55
2013,6,"trucha",313.941,2099855.63
2013,7,"caracol",3.75,25039.46
2013,7,"congrio",0.021,1000
2013,7,"culengues",0.625,5400.66
2013,7,"jurel",211.68,276595.2
2013,7,"loco",6.075,112434.21
2013,7,"macha",2.22,23566.53
2013,7,"navajas",22.5436,170068.22
2013,7,"navajuelas",5.5306,20432.37
2013,7,"pez espada",15.474,114117.32
2013,7,"salmones",23.83,148670.98
2013,8,"abalones",10.56,466713.68
2013,8,"algas",7863.7032,22044235.31
2013,8,"almejas",0.2592,720
2013,8,"atun",29.5851,126776.39
2013,8,"bacalado_profundo",369.35886,5235981.32
2013,8,"caracol",24.92519,186603.3
2013,8,"centolla",58.3731,1134414.45
2013,8,"corvina",3.38,3250
2013,8,"culengues",154.445,1380696.73
2013,8,"erizo",58.1856,1313170.49
2013,8,"jaiba",10.2954,126698.68
2013,8,"jurel",92838.29878,123971803.14
2013,8,"langostinos",60.1496,1115411.32
2013,8,"loco",286.37178,4636112.32
2013,8,"macha",1.03124,10150
2013,8,"mejillones",299.71243,882032.08
2013,8,"merluza",3442.22352,8904278.8
2013,8,"navajas",481.57545,4253466.67
2013,8,"navajuelas",447.743,2628550.11
2013,8,"pejerreyes",305.5554,570565.71
2013,8,"pez espada",236.25728,1867887.49
2013,8,"reineta",275.6861,211377.25
2013,8,"salmon",3315.244,12995282.33
2013,8,"salmones",3604.97475,24340150.81
2013,8,"trucha",2585.5288,14591950.87
2013,9,"algas",100.595,332029
2013,9,"centolla",11.0985,312465.22
2013,9,"salmon",146.85,577635
2013,9,"salmones",4.55,33700.27
2013,10,"algas",2634.0812,5963814.87
2013,10,"almejas",485.31907,3068543.83
2013,10,"bacalado_profundo",975.96953,19219836.91
2013,10,"caballas",38.2198,31612
2013,10,"camaron",0.035,359.4
2013,10,"caracol",24.97505,153381.48
2013,10,"centolla",786.57215,7817358.78
2013,10,"cojinobas",3.33567,10520.35
2013,10,"congrio",67.53565,515490.22
2013,10,"culengues",133.1313,1244089.5
2013,10,"erizo",290.923,6485555.18
2013,10,"jaiba",141.37366,1492083.39
2013,10,"jurel",39302.2037,43066058.66
2013,10,"langostinos",659.08836,11282125.35
2013,10,"loco",96.56078,1944617.78
2013,10,"macha",86.16199,659197.95
2013,10,"mejillones",68600.44523,179368654.66
2013,10,"merluza",5193.94136,17852579.9
2013,10,"navajas",301.00339,2711754.57
2013,10,"navajuelas",988.25398,5577107.51
2013,10,"ostion",5.21861,46516.87
2013,10,"pejerreyes",124.7872,259413.09
2013,10,"pepino",35.7194,893711.34
2013,10,"pez espada",247.72802,1969127.98
2013,10,"pulpo",1.037,19134
2013,10,"reineta",21.78447,33031.28
2013,10,"salmon",104069.46608,416122945.6
2013,10,"salmones",303538.20482,2026634173.54
2013,10,"sardinas",26.96832,30973.14
2013,10,"trucha",111577.02365,715028673.11
2013,11,"bacalado_profundo",12.75295,228378.6
2013,11,"brotula",13.99398,28128.33
2013,11,"centolla",74.98574,518925.2
2013,11,"cojinobas",158.78507,472663.78
2013,11,"congrio",286.21832,1655422.21
2013,11,"jaiba",79.83214,639803.34
2013,11,"merluza",5322.49296,19136971.33
2013,11,"reineta",94.058,139962.99
2013,11,"salmon",13895.92935,34410657.95
2013,11,"salmones",15146.57626,89666861.27
2013,11,"trucha",3381.35966,14118805.26
2013,12,"bacalado_profundo",2191.56437,38235564.66
2013,12,"brotula",229.1811,438273.86
2013,12,"centolla",3367.92232,37750646.42
