imports_name,trade_name
salmon,Salmon
arenques,Herring
sardinas,Sardines
sardinelas y espadines,Sardines
atunes,Tuna
listados,Skipjack tuna
bonitos,Skipjack tuna
caballas,Mackerel
anchoas,Anchovy
anguilas,Eel
jurel,Jack mackerel
merluza,Hake
los demas pescados,Other fish
los demas centollas y centollon,King crab
los demas cangrejos,Crabs
camaron nailon,Shrimp
camaron ecuatoriano,Shrimp
los demas camarones,Shrimp
los demas decapodos Natantia,Other decapods
los demas crustaceos,Other crustaceans
ostras,Oyster
ostiones,Scallop
"las demas vieiras, volandeiras",Scallop
mejillones,Mussels
las demas jibias,Squid
pulpos,Octopus
almejas,Clams
las demas almejas,Clams
caracoles excepto los de mar,Snails
machas,Machas
los demas caracoles,Snails
navajuelas,Navajuela
navajas de mar,Navaja de mar
los demas de los demas moluscos,Other mollusks
erizos de mar,Sea urchin
los demas invertebrados acuaticos,Other invertebrates
congrio,Cusk-eel
jaibas,Crabs
los demas langostinos,Langostinos
gambas,Prawns
"los demas camarones, langostinos y natantia",Other crustaceans
langostino colorado,Langostinos
jibias,Squid
los demas abalones y orejas de mar,Abalone
centolla del norte,King crab
abalon japones,Abalone
locos,Loco
meduzas,Jellyfish
trucha,Trout
centolla,King crab
camaron de rio,Freshwater shrimp
