"subsector","year","region","month","species","tons","international_waters"
"artisanal",2013,"national","ENE","CHASCA",64,0
"artisanal",2013,"national","ENE","CHASCON O HUIRO NEGRO",30222,0
"artisanal",2013,"national","ENE","CHICOREA DE MAR",285,0
"artisanal",2013,"national","ENE","COCHAYUYO",1222,0
"artisanal",2013,"national","ENE","HUIRO",2923,0
"artisanal",2013,"national","ENE","HUIRO PALO",2479,0
"artisanal",2013,"national","ENE","LECHUGUILLA",NA,0
"artisanal",2013,"national","ENE","LIQUEN GOMOSO",NA,0
"artisanal",2013,"national","ENE","LUCHE",4,0
"artisanal",2013,"national","ENE","LUGA CUCHARA O CORTA",540,0
"artisanal",2013,"national","ENE","LUGA NEGRA O CRESPA",5659,0
"artisanal",2013,"national","ENE","LUGA-ROJA",4213,0
"artisanal",2013,"national","ENE","PELILLO",7752,0
"artisanal",2013,"national","ENE","ALBACORA O PEZ ESPADA",NA,0
"artisanal",2013,"national","ENE","ANCHOVETA",27471,0
"artisanal",2013,"national","ENE","ANGUILA",17,0
"artisanal",2013,"national","ENE","APANADO",1,0
"artisanal",2013,"national","ENE","ATUN ALETA AMARILLA",NA,0
"artisanal",2013,"national","ENE","ATUN ALETA LARGA",NA,0
"artisanal",2013,"national","ENE","ATUN CHAUCHERA",NA,0
"artisanal",2013,"national","ENE","ATUN OJOS GRANDES",NA,0
"artisanal",2013,"national","ENE","AYANQUE",NA,0
"artisanal",2013,"national","ENE","AZULEJO",2,0
"artisanal",2013,"national","ENE","BACALADILLO O MOTE",697,0
"artisanal",2013,"national","ENE","BACALAO DE PROFUNDIDAD",141,0
"artisanal",2013,"national","ENE","BAGRE AGUA DULCE",NA,0
"artisanal",2013,"national","ENE","BESUGO",NA,0
"artisanal",2013,"national","ENE","BLANQUILLO",5,0
"artisanal",2013,"national","ENE","BONITO",2,0
"artisanal",2013,"national","ENE","BRECA O BILAGAY",14,0
"artisanal",2013,"national","ENE","BROTULA",NA,0
"artisanal",2013,"national","ENE","CABALLA",2163,0
"artisanal",2013,"national","ENE","CABINZA",5,0
"artisanal",2013,"national","ENE","CABRILLA",15,0
"artisanal",2013,"national","ENE","CABRILLA COMUN",7,0
"artisanal",2013,"national","ENE","CANQUE",NA,0
"artisanal",2013,"national","ENE","CHANCHARRO",NA,0
"artisanal",2013,"national","ENE","COCHINILLA",NA,0
"artisanal",2013,"national","ENE","COJINOBA DEL NORTE",58,0
"artisanal",2013,"national","ENE","COJINOBA DEL SUR",1,0
"artisanal",2013,"national","ENE","CONGRIO COLORADO",91,0
"artisanal",2013,"national","ENE","CONGRIO DORADO",294,0
"artisanal",2013,"national","ENE","CONGRIO NEGRO",40,0
"artisanal",2013,"national","ENE","CORVINA",80,0
"artisanal",2013,"national","ENE","DORADO DE ALTURA",149,0
"artisanal",2013,"national","ENE","HUAIQUIL O CORVINILLA",NA,0
"artisanal",2013,"national","ENE","JERGUILLA",2,0
"artisanal",2013,"national","ENE","JUREL",3422,0
"artisanal",2013,"national","ENE","LENGUADO OJOS CHICOS",2,0
"artisanal",2013,"national","ENE","LISA",3,0
"artisanal",2013,"national","ENE","MACHUELO O TRITRE",89,0
"artisanal",2013,"national","ENE","MARLIN",NA,0
"artisanal",2013,"national","ENE","MERLUZA COMUN",927,0
"artisanal",2013,"national","ENE","MERLUZA DEL SUR O AUSTRAL",624,0
"artisanal",2013,"national","ENE","NANUE",NA,0
"artisanal",2013,"national","ENE","PAMPANITO",1,0
"artisanal",2013,"national","ENE","PEJEGALLO",17,0
"artisanal",2013,"national","ENE","PEJEPERRO",1,0
"artisanal",2013,"national","ENE","PEJERREY DE MAR",21,0
"artisanal",2013,"national","ENE","PEJESAPO",NA,0
"artisanal",2013,"national","ENE","PEJEZORRO",NA,0
"artisanal",2013,"national","ENE","PESCADO NO CLASIFICADO",1,0
"artisanal",2013,"national","ENE","PUYE",NA,0
"artisanal",2013,"national","ENE","RAYA ESPINOSA",NA,0
"artisanal",2013,"national","ENE","RAYA VOLANTIN",201,0
"artisanal",2013,"national","ENE","REINETA",1284,0
"artisanal",2013,"national","ENE","ROBALO",14,0
"artisanal",2013,"national","ENE","ROCOCO",NA,0
"artisanal",2013,"national","ENE","ROLLIZO",2,0
"artisanal",2013,"national","ENE","RONCACHO",1,0
"artisanal",2013,"national","ENE","SARDINA AUSTRAL",1140,0
"artisanal",2013,"national","ENE","SARDINA COMUN",377,0
"artisanal",2013,"national","ENE","SARDINA ESPANOLA",13,0
"artisanal",2013,"national","ENE","SARGO",2,0
"artisanal",2013,"national","ENE","SIERRA",155,0
"artisanal",2013,"national","ENE","TIBURON O MARRAJO",18,0
"artisanal",2013,"national","ENE","TIBURON SARDINERO",NA,0
"artisanal",2013,"national","ENE","TOLLO",2,0
"artisanal",2013,"national","ENE","VIDRIOLA, PALOMETA, DORADO O TOREMO",11,0
"artisanal",2013,"national","ENE","VIEJA O MULATA",2,0
"artisanal",2013,"national","ENE","ALMEJA",368,0
"artisanal",2013,"national","ENE","CALAMAR",NA,0
"artisanal",2013,"national","ENE","CARACOL LOCATE",140,0
"artisanal",2013,"national","ENE","CARACOL PALO PALO",NA,0
"artisanal",2013,"national","ENE","CARACOL PICUYO",NA,0
"artisanal",2013,"national","ENE","CARACOL PIQUILHUE",NA,0
"artisanal",2013,"national","ENE","CARACOL RUBIO",NA,0
"artisanal",2013,"national","ENE","CARACOL TEGULA",9,0
"artisanal",2013,"national","ENE","CARACOL TRUMULCO",6,0
"artisanal",2013,"national","ENE","CHOCHA",NA,0
"artisanal",2013,"national","ENE","CHOLGA",83,0
"artisanal",2013,"national","ENE","CHORITO",30,0
"artisanal",2013,"national","ENE","CHORO",80,0
"artisanal",2013,"national","ENE","CULENGUE",78,0
"artisanal",2013,"national","ENE","HUEPO O NAVAJA DE MAR",395,0
"artisanal",2013,"national","ENE","JIBIA O CALAMAR ROJO",4855,0
"artisanal",2013,"national","ENE","JULIANA O TAWERA",8,0
"artisanal",2013,"national","ENE","LAPA NEGRA",89,0
"artisanal",2013,"national","ENE","LAPA PICTA",NA,0
"artisanal",2013,"national","ENE","LAPA REINA",NA,0
"artisanal",2013,"national","ENE","LAPA ROSADA",2,0
"artisanal",2013,"national","ENE","LOCO",225,0
"artisanal",2013,"national","ENE","MACHA",313,0
"artisanal",2013,"national","ENE","NAVAJUELA",396,0
"artisanal",2013,"national","ENE","OSTION DEL SUR",14,0
"artisanal",2013,"national","ENE","OSTRA CHILENA",NA,0
"artisanal",2013,"national","ENE","PULPO",NA,0
"artisanal",2013,"national","ENE","PULPO DEL SUR",NA,0
"artisanal",2013,"national","ENE","TAQUILLA",39,0
"artisanal",2013,"national","ENE","TUMBAO",22,0
"artisanal",2013,"national","ENE","CAMARON DE ROCA",1,0
"artisanal",2013,"national","ENE","CAMARON NAILON",156,0
"artisanal",2013,"national","ENE","CANGREJO DORADO DE J. FERNANDEZ",2,0
"artisanal",2013,"national","ENE","CENTOLLA",NA,0
"artisanal",2013,"national","ENE","CENTOLLON",NA,0
"artisanal",2013,"national","ENE","CENTOLLON DEL NORTE",NA,0
"artisanal",2013,"national","ENE","CRUSTACEO NO CLASIFICADO",NA,0
"artisanal",2013,"national","ENE","GAMBA",5,0
"artisanal",2013,"national","ENE","JAIBA LIMON",29,0
