"species","year","tons","sc_name","en_name","group","en_group"
"ACHA","2013",NA,"Medialuna ancietae","Sea Chab","pescado_otros","Fish"
"AGUJILLA","2013",8094,"Scomberesox saurus scombroides","King gar","pescado_otros","Fish"
"ALBACORA","2013",4852,"Xiphias gladius","Swordfish","atunes","Tuna"
"ALFONSINO","2013",NA,"Beryx splendens","Splendid alfonsino","pescado_otros","fish"
"ANCHOVETA","2013",803404,"Engraulis ringens","Anchoveta","pescado_otros","Fish"
"ANCHOVETA BLANCA","2013",NA,"Anchoa nasus","Longnose anchovy","pescado_otros","Fish"
"ANGUILA","2013",142,"Ophichthus spp.","eel","anguila","Eel"
"APANADO","2013",12,"Hemilutjanus macrophthalmos","Grape-eye seabass","pescado_otros","Fish"
"ATUN ALETA AMARILLA","2013",4,"Thunnus albacares","Yellowfin tuna","atunes","Tuna"
"ATUN ALETA LARGA","2013",1,"Thunnus alalunga","Albacore","atunes","Tuna"
"ATUN OJOS GRANDES","2013",1,"Thunnus obesus","Bigeye tuna","atunes","Tuna"
"AYANQUE","2013",1,"Cynoscion analis","Peruvian weakfish","pescado_otros","Fish"
"AZULEJO","2013",230,"Prionace glauca","Blue shark","tiburon","Shark"
"BACALADILLO O MOTE","2013",55045,"Normanichthys crockeri","Mote sculpin","pescado_otros","Fish"
"BACALAO DE J. FERNANDEZ","2013",NA,"Polyprion oxygeneios","Hapuku wreckfish","pescado_otros","Fish"
"BACALAO DE PROFUNDIDAD","2013",4090,"Dissostichus eleginoides","Patagonian toothfish","pescado_otros","Fish"
"BESUGO","2013",24,"Epigonus crassicaudus","BESUGO","pescado_otros","Fish"
"BLANQUILLO","2013",61,"Prolatilus jugularis","Pacific sandperch","pescado_otros","Fish"
"BONITO","2013",19,"Sarda chiliensis","Eastern Pacific bonito","bonito","Bonito"
"BRECA O BILAGAY","2013",104,"Cheilodactylus variegatus","Peruvian morwong","pescado_otros","Fish"
"BROTULA","2013",374,"Salilota australis","Tadpole codling","pescado_otros","Fish"
"CABALLA","2013",31657,"Scomber japonicus","Chub mackerel","caballa","Caballa"
"CABINZA","2013",42,"Isacia conceptionis","Cabinza grunt","pescado_otros","Fish"
"CABRILLA","2013",185,"Paralabrax humeralis","Peruvian rock seabass","pescado_otros","Fish"
"CACHURRETA","2013",NA,"Katsuwonus pelamis","Skipjack tuna","atunes","Tuna"
"CAZON","2013",NA,"Galeorhinus galeus","Tope shark","tiburon","Shark"
"CHANCHARRO","2013",36,"Helicolenus lengerichi","Rockfish helicolenus","pescado_otros","Fish"
"COCHINILLA","2013",34,"Navodon Paschalis","Navodon","pescado_otros","Fish"
"COJINOBA","2013",3600,"Seriolella ","Warehou","pescado_otros","Fish"
"CONGRIO COLORADO","2013",640,"Genypterus chilensis","Red cusk-eel","congrio","Cusk-eel"
"CONGRIO DORADO","2013",1905,"Genypterus blacodes","Pink cusk-eel","congrio","Cusk-eel"
"CONGRIO NEGRO","2013",245,"Genypterus maculatus","Black cusk-eel","congrio","Cusk-eel"
"CORVINA","2013",1563,"Cilus gilberti","Corvina drum","pescado_otros","Fish"
"DORADO DE ALTURA","2013",NA,"Coryphaena hippurus","Common dolphinfish","pescado_otros","Fish"
"DRACO RAYADO","2013",234,"Champsocephalus gunnari","Mackerel icefish","pescado_otros","Fish"
"HUAIQUIL O CORVINILLA","2013",1,"Micropogonias manni","Micropogonias manni","pescado_otros","Fish"
"JERGUILLA","2013",13,"Aplodactylus punctatus","Jerguilla","pescado_otros","Fish"
"JUREL","2013",231360,"Trachurus murphyi","Chilean jack mackerel","jurel","Jack mackerel"
"LENGUADO","2013",17,"Paralichthys spp.","Large-tooth flounders","pescado_otros","Fish"
"LISA","2013",56,"Mugil cephalus","Flathead grey mullet","pescado_otros","Fish"
"MACHUELO TRITRE","2013",7660,"Ethmidium maculatum","Pacific menhaden","pescado_otros","Fish"
"MARLIN","2013",10,"Tetrapturus spp.","Tetrapturus","pescado_otros","Fish"
"MARRAJO O TIBURON","2013",284,"Isurus oxyrinchus","Shortfin mako","tiburon","Shark"
"MERLUZA COMUN","2013",36900,"Merluccius gayi gayi","South Pacific hake","merluza","Hake"
"MERLUZA DE COLA","2013",47602,"Macruronus magellanicus","Patagonian grenadier","merluza","Hake"
"MERLUZA DE TRES ALETAS","2013",15304,"Micromesistius australis","Southern blue whiting","merluza","Hake"
"MERLUZA DEL SUR","2013",19346,"Merluccius australis","Southern hake","merluza","Hake"
"NANUE","2013",2,"Kiphosus sandwicensis","Pacific chub","pescado_otros","Fish"
"ORANGE ROUGHY","2013",NA,"Hoplosthethus atlanticus","Orange roughy","pescado_otros","Fish"
"PAMPANITO","2013",1664,"Stromateus stellatus","Starry butterfish","pescado_otros","Fish"
"PEJEGALLO","2013",221,"Callorhinchus callorhynchus","American Elephantfish","pescado_otros","Fish"
"PEJEPERRO","2013",3,"Semicossyphus maculatus","Sheephead","pescado_otros","Fish"
"PEJERRATA","2013",91,"Coelorhynchus chilensis","Chilean grenadier","pescado_otros","Fish"
"PEJERREY DE MAR","2013",760,"Odontesthes regia","Chilean silverside","pescado_otros","Fish"
"PEJESAPO","2013",4,"Sicyases sanguin","Pejesapo","pescado_otros","Fish"
"PESCADO NO CLASIFICADO","2013",334,"Pescado","Fish","pescado_otros","Fish"
"PUYE","2013",2,"Galaxias maculatus","Common galaxias","pescado_otros","Fish"
"RAYA","2013",888,"Zearaja chilensis","Yellownose skate","raya","Ray"
"REINETA","2013",11955,"Brama australis","Southern rays bream","pescado_otros","Fish"
"REMOREMO","2013",NA,"Elagatis bipinnulata","Rainbow runner","pescado_otros","Fish"
"ROBALO","2013",170,"Eleginops maclovinus","Patagonian blennie","pescado_otros","Fish"
"ROCOCO","2013",3,"Paralonchurus peruanus","Peruvian banded croaker","pescado_otros","Fish"
"ROLLIZO","2013",31,"Pinguipes chilensis","Chilean sandperch","pescado_otros","Fish"
"RONCACHO","2013",37,"Sciaena deliciosa","Lorna drum","pescado_otros","Fish"
"SALMON ARTICO","2013",NA,"Salvelinus alpinus","Arctic char","salmon","Salmon"
"SALMON DEL ATLANTICO","2013",493463,"Salmo salar","Atlantic salmon","salmon","Salmon"
"SALMON PLATEADO","2013",146017,"Oncorhynchus kisutch","Coho salmon","salmon","Salmon"
"SALMON REY","2013",986,"Oncorhynchus tshawytscha","Chinook salmon","salmon","Salmon"
"SARDINA","2013",67,"Strangomera bentincki","Araucanian herring","sardina","Sprat and herring"
"SARDINA AUSTRAL","2013",27214,"Sprattus fuegensis","Falkland sprat","sardina","Sprat and herring"
"SARDINA COMUN","2013",236968,"Strangomera bentincki","Araucanian herring","sardina","Sprat and herring"
"SARGO","2013",21,"Anisotremus scapularis","Peruvian grunt","pescado_otros","Fish"
"SIERRA","2013",1962,"Thyrsites atun","Snoek","tiburon","Shark"
"TOLLO","2013",9,"Mustelus mento","Speckled smooth-hound","tiburon","Shark"
"TOLL0 DE CACHOS","2013",NA,"Squalus acanthias","Picked dogfish","tiburon","Shark"
"TOMOYO","2013",NA,"Labrisomus philippii","Chalapo clinid","pescado_otros","Fish"
"TRUCHA ARCOIRIS","2013",145625,"Oncorhynchus mykiss","Rainbow trout","trucha","Trout"
"TURBOT","2013",107,"Scophtalmus maximus","Turbot","pescado_otros","Fish"
"VIDRIOLA, PALOMETA, DORADO O TOREMO","2013",531,"Seriola lalandi","Yellowtail amberjack","pescado_otros","Fish"
"VIEJA O MULATA","2013",7,"Graus nigra","Vieja","pescado_otros","Fish"
"OTROS PESCADOS","2013",73,"Fish","Fish","pescado_otros","Fish"
"ACHA","2014",NA,"Medialuna ancietae","Sea Chab","pescado_otros","Fish"
"AGUJILLA","2014",419,"Scomberesox saurus scombroides","King gar","pescado_otros","Fish"
"ALBACORA","2014",5799,"Xiphias gladius","Swordfish","atunes","Tuna"
"ALFONSINO","2014",NA,"Beryx splendens","Splendid alfonsino","pescado_otros","fish"
"ANCHOVETA","2014",817900,"Engraulis ringens","Anchoveta","pescado_otros","Fish"
"ANCHOVETA BLANCA","2014",NA,"Anchoa nasus","Longnose anchovy","pescado_otros","Fish"
"ANGUILA","2014",78,"Ophichthus spp.","eel","anguila","Eel"
"APANADO","2014",16,"Hemilutjanus macrophthalmos","Grape-eye seabass","pescado_otros","Fish"
"ATUN ALETA AMARILLA","2014",8,"Thunnus albacares","Yellowfin tuna","atunes","Tuna"
"ATUN ALETA LARGA","2014",8,"Thunnus alalunga","Albacore","atunes","Tuna"
"ATUN OJOS GRANDES","2014",NA,"Thunnus obesus","Bigeye tuna","atunes","Tuna"
"AYANQUE","2014",NA,"Cynoscion analis","Peruvian weakfish","pescado_otros","Fish"
"AZULEJO","2014",282,"Prionace glauca","Blue shark","tiburon","Shark"
"BACALADILLO O MOTE","2014",50543,"Normanichthys crockeri","Mote sculpin","pescado_otros","Fish"
"BACALAO DE J. FERNANDEZ","2014",NA,"Polyprion oxygeneios","Hapuku wreckfish","pescado_otros","Fish"
