"group","year","catch","no_hc","aquaculture","exports","imports","total"
"Crustaceos_otros",2014,1,0,0,0,0,1
"Crustaceos_otros",2015,2,0,0,0,0,2
"Crustaceos_otros",2017,3,0,0,0,0,3
"abalon japones",2013,0,0,23,11.43402,0,11.56598
"abalon japones",2014,0,0,16,2.3232,0,13.6768
"abalon japones",2015,0,0,13,16.1486,0,-3.1486
"abalon japones",2016,0,0,2,6.75015,0,-4.75015
"abalon japones",2017,0,0,16,6.0456,0,9.9544
"abalon_otras",2013,0,0,1111,0,0,1111
"abalon_otras",2014,0,0,1130,0,0,1130
"abalon_otras",2015,0,0,1032,0,1.7302,1033.7302
"abalon_otras",2016,0,0,1274,0,0.2376,1274.2376
"abalon_otras",2017,0,0,1015,220.30259,0,794.69741
"albacora",2013,4852,0,0,0,0,4852
"alga",2013,517929,46154,12668,88678.45792,0,395764.54208
"alga",2014,417331,31960,12914,80291.50045,0,317993.49955
"alga",2015,691408,48416,12573,74232.98928,0,581332.01072
"alga",2016,329707,38989,14910,82470.33111,0,223157.66889
"alga",2017,415463,0,16982,88360.36128,0,344084.63872
"almeja_gayi",2013,4908,0,0,230.72441,8.07544,4685.35103
"almeja_gayi",2014,10174,0,0,425.17632,9.38011,9758.20379
"almeja_gayi",2015,7548,0,0,113.78293,4,7438.21707
"almeja_gayi",2016,3070,0,0,120.24038,0,2949.75962
"almeja_gayi",2017,4186,0,0,2477.36482,0,1708.63518
"almeja_otras",2013,9277,0,0,927.8018,32.8603,8382.0585
"almeja_otras",2014,12822,0,0,986.49312,150.249,11985.75588
"almeja_otras",2015,32542,0,0,1106.167,149.96,31585.793
"almeja_otras",2016,16698,0,0,450.81063,5.9925,16253.18187
"almeja_otras",2017,19336,0,0,346.61868,139.04,19128.42132
"anguila",2013,142,0,0,70.995,0.0075,71.0125
"anguila",2014,81,0,0,4.686,0.00495,76.31895
"anguila",2015,98,0,0,0,2.49,100.49
"anguila",2016,56,0,0,26.95,0,29.05
"anguila",2017,43,0,0,0,1.12,44.12
"atun",2013,5,0,0,0,0,5
"atunes",2013,6,0,0,3836.87308,112363.86955,108532.99647
"atunes",2014,11634,0,0,3980.02622,114345.4882,121999.46198
"atunes",2015,23754,0,0,4317.74608,149766.3867,169202.64062
"atunes",2016,13956,0,0,6463.24114,138376.47192,145869.23078
"atunes",2017,11216,0,0,6640.9648,194544.18102,199119.21622
"bonito",2013,38,0,0,0,2720.33205,2758.33205
"bonito",2014,76,0,0,0,1834.1089,1910.1089
"bonito",2015,172,0,0,0,923.66871,1095.66871
"bonito",2016,514,160,0,0,788.14578,1142.14578
"bonito",2017,228,44,0,423.79496,1721.78625,1481.99129
"caballa",2013,63314,62230,0,76.4396,174.60743,1182.16783
"caballa",2014,48316,49444,0,431.776,245.68005,-1314.09595
"caballa",2015,142386,106444,0,985.00324,776.5593,35733.55606
"caballa",2016,117166,118826,0,864.364,1502.9187,-1021.44530000001
"caballa",2017,132814,150506,0,5113.9962,2133.0969,-20672.8993
"camaron_ecu",2015,0,0,0,1.7277,2313.57647,2311.84877
