year,species,region,price,tons
2013,Acha,1,4429.35183818101,0.03
2013,Albacora o pez espada,1,3827.41428068462,20.75
2013,Albacora o pez espada,2,6151.87755302919,0.51
2013,Albacora o pez espada,3,4798.46449136276,4
2013,Albacora o pez espada,5,3248.19134799941,2
2013,Albacora o pez espada,8,2829.86367439343,90
2013,Almeja,1,295.290122545401,0.3
2013,Almeja,10,471.944749895877,306.967
2013,Almeja,12,290.86077070722,75.05
2013,Almeja,2,516.757714454452,0.62
2013,Almeja,8,815.966109779782,11.89
2013,Anchoveta,8,138.786357596338,26
2013,Apanado,2,1021.21167380284,0.05
2013,Azulejo,1,1223.34479340237,4.88
2013,Bacalao de profundidad,1,8120.47836999852,1.2
2013,Bacalao de profundidad,5,8538.80604360451,3
2013,Bacalao de profundidad,8,8637.23608445298,18
2013,Bilagay,1,1856.10934171395,0.67
2013,Bilagay,2,2559.18106206014,0.111
2013,Blanquillo,8,947.199854626401,15.37
2013,Bonito,2,2214.67591909051,0.02
2013,Caballa,15,1476.450612727,0.02
2013,Caballa,2,1808.65200059058,0.051
2013,Cabinza,1,1476.450612727,0.018
2013,Cabinza,15,2288.49844972686,0.29
2013,Cabinza,4,1476.450612727,0.071
2013,Cabinza,8,1476.450612727,0.02
2013,Cabrilla,2,2362.32098036321,0.087
2013,Cabrilla,3,2399.23224568138,NA
2013,Cabrilla,8,479.846449136276,0.18
2013,Cabrilla comun,1,2569.02406614499,0.172
2013,Cabrilla comun,15,2436.14351099956,0.22
2013,Cabrilla comun,2,3248.19134799941,0.032
2013,Caracol tegula,3,369.112653181751,0.2
2013,Centolla,10,2821.66117098939,3.552
2013,Centolla,12,3776.10446708335,306.14
2013,Centollon,12,821.275653329396,53.34
2013,Chascon o huiro negro,1,561.051232836262,5
2013,Chascon o huiro negro,2,418.645189866786,118.1
2013,Chascon o huiro negro,5,147.6450612727,2
2013,Chascon o huiro negro,8,114.424922486343,86
2013,Chicorea de mar,8,354.348147054481,1.45
2013,Cholga,10,400.328953196516,17.8
2013,Cholga,12,258.378857227226,2
2013,Cholga,15,1107.33795954525,0.08
2013,Cholga,2,295.290122545401,0.5
2013,Cholga,8,976.032285053398,2.27
2013,Chorito,10,253.764949062454,8.462
2013,Chorito,12,258.378857227226,1
2013,Chorito,8,398.641665436291,0.4
2013,Choro,10,1107.33795954525,2.7
2013,Choro,15,1771.74073527241,0.11
2013,Cojinoba del norte,1,11811.604901816,0.06
2013,Cojinoba del norte,15,3875.68285840839,0.14
2013,Cojinoba del norte,2,4675.42694030218,0.543
2013,Cojinoba del norte,3,3454.89443378119,NA
2013,Cojinoba del norte,5,4429.35183818101,1
2013,Cojinoba del norte,9,1476.450612727,NA
2013,Congrio colorado,1,5389.04473645357,0.735
2013,Congrio colorado,2,5154.154866247,0.637
2013,Congrio colorado,3,3322.01387863576,2.578
2013,Congrio colorado,4,4764.90879561897,1.106
2013,Congrio colorado,5,4798.46449136276,2
2013,Congrio colorado,6,4429.35183818101,0.09
2013,Congrio colorado,8,2730.56513318453,9.61
2013,Congrio dorado,10,2103.94212313598,3.29
2013,Congrio dorado,11,1476.450612727,NA
2013,Congrio dorado,12,2573.24249646706,4.49
2013,Congrio dorado,2,2362.32098036321,0.04
2013,Congrio dorado,8,2362.32098036321,16
2013,Congrio negro,1,2436.14351099956,0.04
2013,Congrio negro,15,5167.57714454452,0.04
