"chl_name","m_p","region","tons","product","year","use"
"AGUJILLA","M","XV",0,"oil",2013,"NHC"
"AGUJILLA","P","XV",0,"oil",2013,"NHC"
"ANCHOVETA","M","XV",0,"oil",2013,"NHC"
"ANCHOVETA","P","XV",1340,"oil",2013,"NHC"
"BACALADILLO O MOTE","M","XV",0,"oil",2013,"NHC"
"BACALADILLO O MOTE","P","XV",0,"oil",2013,"NHC"
"CABALLA","M","XV",0,"oil",2013,"NHC"
"CABALLA","P","XV",14,"oil",2013,"NHC"
"JUREL","M","XV",0,"oil",2013,"NHC"
"JUREL","P","XV",46,"oil",2013,"NHC"
"MACHUELO O TRITRE","M","XV",0,"oil",2013,"NHC"
"MACHUELO O TRITRE","P","XV",24,"oil",2013,"NHC"
"MERLUZA DE COLA","M","XV",0,"oil",2013,"NHC"
"MERLUZA DE COLA","P","XV",0,"oil",2013,"NHC"
"PAMPANITO","M","XV",0,"oil",2013,"NHC"
"PAMPANITO","P","XV",0,"oil",2013,"NHC"
"PESCADO NO CLASIFICADO","M","XV",0,"oil",2013,"NHC"
"PESCADO NO CLASIFICADO","P","XV",0,"oil",2013,"NHC"
"SARDINA AUSTRAL","M","XV",0,"oil",2013,"NHC"
"SARDINA AUSTRAL","P","XV",0,"oil",2013,"NHC"
"SARDINA COMUN","M","XV",0,"oil",2013,"NHC"
"SARDINA COMUN","P","XV",0,"oil",2013,"NHC"
"JIBIA O CALAMAR ROJO","M","XV",0,"oil",2013,"NHC"
"JIBIA O CALAMAR ROJO","P","XV",0,"oil",2013,"NHC"
"AGUJILLA","M","I",0,"oil",2013,"NHC"
"AGUJILLA","P","I",131,"oil",2013,"NHC"
"ANCHOVETA","M","I",0,"oil",2013,"NHC"
"ANCHOVETA","P","I",5540,"oil",2013,"NHC"
"BACALADILLO O MOTE","M","I",0,"oil",2013,"NHC"
"BACALADILLO O MOTE","P","I",7,"oil",2013,"NHC"
"CABALLA","M","I",0,"oil",2013,"NHC"
"CABALLA","P","I",80,"oil",2013,"NHC"
"JUREL","M","I",0,"oil",2013,"NHC"
"JUREL","P","I",115,"oil",2013,"NHC"
"MACHUELO O TRITRE","M","I",0,"oil",2013,"NHC"
"MACHUELO O TRITRE","P","I",0,"oil",2013,"NHC"
"MERLUZA DE COLA","M","I",0,"oil",2013,"NHC"
"MERLUZA DE COLA","P","I",0,"oil",2013,"NHC"
"PAMPANITO","M","I",0,"oil",2013,"NHC"
"PAMPANITO","P","I",0,"oil",2013,"NHC"
"PESCADO NO CLASIFICADO","M","I",0,"oil",2013,"NHC"
"PESCADO NO CLASIFICADO","P","I",0,"oil",2013,"NHC"
"SARDINA AUSTRAL","M","I",0,"oil",2013,"NHC"
"SARDINA AUSTRAL","P","I",0,"oil",2013,"NHC"
"SARDINA COMUN","M","I",0,"oil",2013,"NHC"
"SARDINA COMUN","P","I",0,"oil",2013,"NHC"
"JIBIA O CALAMAR ROJO","M","I",0,"oil",2013,"NHC"
"JIBIA O CALAMAR ROJO","P","I",0,"oil",2013,"NHC"
"AGUJILLA","M","II",0,"oil",2013,"NHC"
