species,region
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
"VIDRIOLA, PALOMETA, DORADO O TOREMO",7
