chl_name,sc_name,en_name,group,en_group,trade_name,yield
AGUJILLA,Scomberesox saurus scombroides,King gar,pescado_otros,Fish,King gar,0.5
ALBACORA O PEZ ESPADA,Xiphias gladius,Swordfish,atunes,Tuna,Swordfish,0.425
ALBACORA,Xiphias gladius,Swordfish,atunes,Tuna,Swordfish,0.425
ALFONSINO,Beryx splendens,Splendid alfonsino,pescado_otros,Fish,Splendid alfonsino,0.5
ALMEJA,Venus antiqua,Chilean clam,almeja_otras,Clams,Clams,0.225
ANCHOVETA,Engraulis ringens,Anchoveta,pescado_otros,Fish,Peruvian anchoveta,0.55
ANCHOVETA BLANCA,Anchoa nasus,Longnose anchovy,pescado_otros,Fish,Anchovy,0.55
ANGUILA,Ophichthus spp.,eel,anguila,Eel,Eel,0.4
APANADO,Hemilutjanus macrophthalmos,Grape-eye seabass,pescado_otros,Fish,Grape-eye seabass,0.525
ATUN ALETA AMARILLA,Thunnus albacares,Yellowfin tuna,atunes,Tuna,Tuna,0.475
ATUN ALETA LARGA,Thunnus alalunga,Albacore,atunes,Tuna,Tuna,0.475
ATUN CHAUCHERA,Gatrochisma melampus,Butterfly kingfish,atunes,Tuna,Tuna,0.475
ATUN OJOS GRANDES,Thunnus obesus,Bigeye tuna,atunes,Tuna,Tuna,0.475
AYANQUE,Cynoscion analis,Peruvian weakfish,pescado_otros,Fish,Peruvian weakfish,0.6
AZULEJO,Prionace glauca,Blue shark,tiburon,Shark,Shark,0.56
BACALADILLO O MOTE,Normanichthys crockeri,Mote sculpin,pescado_otros,Fish,Mote sculpin,0.5
BACALADILLO,Normanichthys crockeri,Mote sculpin,pescado_otros,Fish,Mote sculpin,0.5
BACALAO DE PROFUNDIDAD,Dissostichus eleginoides,Patagonian toothfish,pescado_otros,Fish,Patagonian toothfish,0.424
BAGRE AGUA DULCE,Ictalurus punctatus,Channel catfish,pescado_otros,Fish,Channel catfish,0.475
BESUGO,Epigonus crassicaudus,BESUGO,pescado_otros,Fish,Sea bream,0.5
BLANQUILLO,Prolatilus jugularis,Pacific sandperch,pescado_otros,Fish,Pacific sandperch,0.5
BONITO,Sarda chiliensis,Eastern Pacific bonito,bonito,Bonito,Skipjack tuna,0.6
BRECA O BILAGAY,Cheilodactylus variegatus,Peruvian morwong,pescado_otros,Fish,Peruvian morwong,0.5
BILAGAY,Cheilodactylus variegatus,Peruvian morwong,pescado_otros,Fish,Peruvian morwong,0.5
BRECA,Cheilodactylus variegatus,Peruvian morwong,pescado_otros,Fish,Peruvian morwong,0.5
VILAGAY,Cheilodactylus variegatus,Peruvian morwong,pescado_otros,Fish,Peruvian morwong,0.5
BRECA O VILAGAY,Cheilodactylus variegatus,Peruvian morwong,pescado_otros,Fish,Peruvian morwong,0.5
BROTULA,Salilota australis,Tadpole codling,pescado_otros,Fish,Tadpole codling,0.5
CABALLA,Scomber japonicus,Chub mackerel,caballa,Caballa,Mackerel,0.6
CABINZA,Isacia conceptionis,Cabinza grunt,pescado_otros,Fish,Cabinza grunt,0.5
CABRILLA,Paralabrax humeralis,Peruvian rock seabass,pescado_otros,Fish,Peruvian rock seabass,0.525
CABRILLA COMUN,Paralabrax humeralis,Peruvian rock seabass,pescado_otros,Fish,Peruvian rock seabass,0.525
CALAMAR,Loligo gahi,Patagonian squid,moluscos_otros,Mollusks,Squid,0.775
CAMARON DE ROCA,Rhynchocinetes typus,Rock shrimp,camaron_otro,Shrimp,Shrimp,0.2
CAMARON NAILON,Heterocarpus reedi,Chilean nylon shrimp,camaron_nai,Chilean nylon shrimp,Shrimp,0.2
CANGREJO DORADO DE J. FERNANDEZ,Chaceon chilensis,Juan Fernrndez golden crab,cangrejos_otros,Crabs,Crabs,0.225
CANGREJO D. DE J. FERNANDEZ,Chaceon chilensis,Juan Fernrndez golden crab,cangrejos_otros,Crabs,Crabs,0.225
CANGREJO DORADO DE JF,Chaceon chilensis,Juan Fernrndez golden crab,cangrejos_otros,Crabs,Crabs,0.225
CANQUE,Stellifer minor,Minor stardrum,pescado_otros,Fish,Minor stardrum,0.525
CARACOL LOCATE,Thais chocolata,Snail locate,caracoles_otros,Gastropods,Snails,0.2
CARACOL PALO PALO,Argobuccinum spp.,Sanil palo palo,caracoles_otros,Gastropods,Snails,0.2
CARACOL PICUYO,Odontocymbiola magellanica,Snail picuyo,caracoles_otros,Gastropods,Snails,0.2
CARACOL PIQUILHUE,Adelomelon ancilla,Snail Piquilhue,caracoles_otros,Gastropods,Snails,0.2
CARACOL RUBIO,Xantochorus cassidiformis,Snail Rubio,caracoles_otros,Gastropods,Snails,0.2
CARACOL TEGULA,Tegula atra,Snail tegula,caracoles_otros,Gastropods,Snails,0.2
CARACOL TRUMULCO,Chorus giganteus,Snail trumulco,caracoles_otros,Gastropods,Snails,0.2
CENTOLLA,Lithodes santolla,Southern king crab,centolla,King crab,King crab,0.225
CENTOLLON,Paralomis granulosa,Softshell red crab,crustaceos_otros,Crustaceans,King crab,0.225
CENTOLLON DEL NORTE,Paralomis spp.,Northern crab,crustaceos_otros,Crustaceans,King crab,0.225
CHANCHARRO,Helicolenus lengerichi,Rockfish helicolenus,pescado_otros,Fish,Rockfish helicolenus,0.5
CHASCA,Gelidium rex,Red algae,alga,Algae,Algae,0.75
CHASCON O HUIRO NEGRO,Lessonia nigrescens,Giant grey kelp,alga,Algae,Algae,0.75
CHICOREA DE MAR,Chondracanthus chamissoi,Red algae chicorea,alga,Algae,Algae,0.75
CHOCHA,Trochita trochiformes,Snail trochita,moluscos_otros,Mollusks,Snails,0.2
CHOLGA,Aulacomya ater,Chilean ribbed mussel,mejillon,Mussels,Mussels,0.175
CHORITO,Mytilus chilensis,Chilean mussel,mejillon,Mussels,Mussels,0.175
CHORO,Choromytilus chorus,Chorus Mussel,mejillon,Mussels,Mussels,0.175
COCHAYUYO,Durvillaea antarctica,New Zealand bull,alga,Algae,Algae,0.75
COCHINILLA,Navodon Paschalis,Navodon,pescado_otros,Fish,Navodon,0.5
COJINOBA DEL NORTE,Seriolella violacea,Palm ruff,pescado_otros,Fish,Warehou,0.6
COJINOBA DEL SUR,Seriolella caerulea,White warehou,pescado_otros,Fish,Warehou,0.6
COJINOBA,Seriolella ,Warehou,pescado_otros,Fish,Warehou,0.6
COJINOBA MOTEADA,Seriolella punctata,Silver warehou,pescado_otros,Fish,Warehou,0.6
CONGRIO COLORADO,Genypterus chilensis,Red cusk-eel,congrio,Cusk-eel,Cusk-eel,0.5
CONGRIO DORADO,Genypterus blacodes,Pink cusk-eel,congrio,Cusk-eel,Cusk-eel,0.5
CONGRIO NEGRO,Genypterus maculatus,Black cusk-eel,congrio,Cusk-eel,Cusk-eel,0.5
CORVINA,Cilus gilberti,Corvina drum,pescado_otros,Fish,Corvina drum,0.55
CRUSTACEO NO CLASIFICADO,Crustacea,Crustaceans,crustaceos_otros,Crustaceans,Other crustaceans,0.2
CULENGUE,Gari solida,Pacific clam,almeja_otras,Clams,Clams,0.225
DORADO DE ALTURA,Coryphaena hippurus,Common dolphinfish,pescado_otros,Fish,Mahi Mahi,0.6
DRACO RAYADO,Champsocephalus gunnari,Mackerel icefish,pescado_otros,Fish,Mackerel icefish,0.55
ERIZO,Loxechinus albus,Chilean sea urchin,erizo,Sea urchin,Sea urchin,0.075
GAMBA,Haliporoides diomedeae,Chilean knife shrimp,gambas,Prawns,Prawns,0.2
HUAIQUIL O CORVINILLA,Micropogonias manni,Micropogonias manni,pescado_otros,Fish,Huaiquil,0.5
HUEPO O NAVAJA DE MAR,Ensis macha,Razor clam,navaja,Razor clam,Navaja de mar,0.225
HUIRO,Macrocystis spp.,Giant kelp,alga,Algae,Algae,0.75
HUIRO PALO,Lessonia trabeculata,Giant brown kelp,alga,Algae,Algae,0.75
JAIBA LIMON,Cancer porteri,Crab limon,jaiba,Jaiba,Crabs,0.225
JAIBA MARMOLA,Cancer edwardsi,Mola rock crab,jaiba,Jaiba,Crabs,0.225
JAIBA MORA,Homalaspis plana,Blackberry crab,jaiba,Jaiba,Crabs,0.225
JAIBA PANCHOTE O CANGREJO,Taliepus dentatus,Crab panchote,jaiba,Jaiba,Crabs,0.225
CANGREJO O PANCHOTE,Taliepus dentatus,Crab panchote,jaiba,Jaiba,Crabs,0.225
JAIBA PATUDA,Taliepus marginatus,Crab patuda,crustaceos_otros,Crustaceans,Crabs,0.225
JAIBA PELUDA O PACHONA,Cancer setosus,Crab peluda,jaiba,Jaiba,Crabs,0.225
JAIBA PELUDA,Cancer setosus,Crab peluda,jaiba,Jaiba,Crabs,0.225
JAIBA REINA,Cancer coronatus,Queen Crab,jaiba,Jaiba,Crabs,0.225
JAIBA REMADORA,Ovalipes trimaculatus,Rowing Crab,jaiba,Jaiba,Crabs,0.225
JERGUILLA,Aplodactylus punctatus,Jerguilla,pescado_otros,Fish,Jerguilla,0.5
JIBIA O CALAMAR ROJO,Dosidicus gigas,Jumbo flying squid,jibia,Squid,Squid,0.8
JIBIA,Dosidicus gigas,Jumbo flying squid,jibia,Squid,Squid,0.8
JULIANA O TAWERA,Tawera gayi,Tawera,almeja_gayi,Tawera,Clams,0.225
JULIANA,Tawera gayi,Tawera,almeja_gayi,Tawera,Clams,0.225
JUREL,Trachurus murphyi,Chilean jack mackerel,jurel,Jack mackerel,Jack mackerel,0.5
KONSO,Ruvettus pretiosus,Oilfish,pescado_otros,Fish,Oilfish,0.425
LANGOSTA DE J.FERNANDEZ,Jasus frontalis,Juan Fernandez rock lobster,crustaceos_otros,Crustaceans,Lobsters,0.225
LANGOSTA DE J. FERNANDEZ,Jasus frontalis,Juan Fernandez rock lobster,crustaceos_otros,Crustaceans,Lobsters,0.225
LANGOSTA ENANA,Projasus bahamondei,Chilean Jagged Lobster,crustaceos_otros,Crustaceans,Lobsters,0.225
LANGOSTINO AMARILLO,Cervimunida johni,Blue squat lobster,langostinos_otros,Langostinos,Langostinos,0.225
LANGOSTINO COLORADO,Pleuroncodes monodon,Red squat lobster,langostino_col,Red squat lobster,Langostinos,0.225
LANGOSTINO ENANO,Pleuroncodes sp,Squat lobster,langostinos_otros,Langistinos,Langostinos,0.225
LAPA NEGRA,Fissurella latimarginata,Black keyhole limpet,moluscos_otros,Mollusks,Limpet,0.275
LAPA PICTA,Fissurella picta,Picta Keyhole limpet,moluscos_otros,Mollusks,Limpet,0.275
LAPA REINA,Fissurella maxima,Giant keyhole limpet,moluscos_otros,Mollusks,Limpet,0.275
LAPA ROSADA,Fissurella cumingi,Rosy keyhole limpet,moluscos_otros,Mollusks,Limpet,0.275
LECHUGUILLA,Ulva lactuca,Sea lettuce,alga,Algae,Algae,0.75
LENGUADO OJOS CHICOS,Paralichthys microps,Small-eye flounder,pescado_otros,Fish,Flounders,0.5
LIQUEN GOMOSO,Gymnogongrus furcellatus,Liquen Gomoso,alga,Algae,Algae,0.75
LISA,Mugil cephalus,Flathead grey mullet,pescado_otros,Fish,Flathead grey mullet,0.6
LOCO,Concholepas concholepas,Chilean abalone,loco,Loco,Loco,0.225
LUCHE,Porphyra columbina,Luche,alga,Algae,Algae,0.75
LUGA CUCHARA O CORTA,Mazzaella laminarioides,Luga,alga,Algae,Algae,0.75
LUCHA CUCHARA O CORTA,Mazzaella laminarioides,Luga,alga,Algae,Algae,0.75
LUGA NEGRA O CRESPA,Sarcothalia crispata,Black algae luga,alga,Algae,Algae,0.75
LUGA NEGRA,Sarcothalia crispata,Black algae luga,alga,Algae,Algae,0.75
LUGA-ROJA,Gigartina skottsbergii,Red luga,alga,Algae,Algae,0.75
LUGA ROJA,Gigartina skottsbergii,Red luga,alga,Algae,Algae,0.75
MACHA,Mesodesma donacium,Macha clam,macha,Macha,Machas,0.225
MACHUELO O TRITRE,Ethmidium maculatum,Pacific menhaden,pescado_otros,Fish,Pacific menhaden,0.55
MACHUELO TRITRE,Ethmidium maculatum,Pacific menhaden,pescado_otros,Fish,Pacific menhaden,0.55
MACHUELO,Ethmidium maculatum,Pacific menhaden,pescado_otros,Fish,Pacific menhaden,0.55
MARLIN,Tetrapturus spp.,Tetrapturus,pescado_otros,Fish,Marlin,0.5
MERLUZA COMUN,Merluccius gayi gayi,South Pacific hake,merluza,Hake,Hake,0.5
MERLUZA DE COLA,Macruronus magellanicus,Patagonian grenadier,merluza,Hake,Hake,0.5
MERLUZA DE TRES ALETAS,Micromesistius australis,Southern blue whiting,merluza,Hake,Hake,0.5
MERLUZA DEL SUR O AUSTRAL,Merluccius australis,Southern hake,merluza,Hake,Hake,0.5
MERLUZA DEL SUR,Merluccius australis,Southern hake,merluza,Hake,Hake,0.5
NANUE,Kiphosus sandwicensis,Pacific chub,pescado_otros,Fish,Pacific chub,0.5
NAVAJUELA,Tagelus dombeii,Navajuela,navajuela,Navajuela,Navajuela,0.225
OSTION DEL SUR,Chlamys vitrea,Sea scalop,moluscos_otros,Mollusks,Scallop,0.15
OSTRA CHILENA,Ostrea chilensis,Chilean flat oyster,ostra,Oyster,Oyster,0.125
PAMPANITO,Stromateus stellatus,Starry butterfish,pescado_otros,Fish,Starry butterfish,0.5
PEJEGALLO,Callorhinchus callorhynchus,American Elephantfish,pescado_otros,Fish,American Elephantfish,0.5
PEJEPERRO,Semicossyphus maculatus,Sheephead,pescado_otros,Fish,Sheephead,0.5
PEJERRATA,Coelorhynchus chilensis,Chilean grenadier,pescado_otros,Fish,Chilean grenadier,0.5
PEJERREY DE MAR,Odontesthes regia,Chilean silverside,pescado_otros,Fish,Chilean silverside,0.425
PEJESAPO,Sicyases sanguin,Pejesapo,pescado_otros,Fish,Pejesapo,0.5
PEJEZORRO,Alopias vulpinus,Thresher,pescado_otros,Fish,Thresher,0.6
PELILLO,Gracilaria spp.,Red algae gracilaria,alga,Algae,Algae,0.75
PEPINO DE MAR,Athyonidium chilensis,Sea cucumber,invertebrados_otros,Invertebrates,Sea cucumber,1
PESCADO NO CLASIFICADO,Pescado,Fish,pescado_otros,Fish,Other fish,0.5
