"especie_SERNAPESCA","sc_name","group"
"CHASCA","Gelidium rex","alga"
"CHASCON O HUIRO NEGRO","Lessonia nigrescens","alga"
"CHICOREA DE MAR","Chondracanthus chamissoi","alga"
"COCHAYUYO","Durvillaea antarctica","alga"
"HUIRO","Macrocystis spp.","alga"
"HUIRO PALO","Lessonia trabeculata","alga"
"LECHUGUILLA","Ulva lactuca","alga"
"LIQUEN GOMOSO","Gymnogongrus furcellatus","alga"
"LUCHE","Porphyra columbina","alga"
"LUGA CUCHARA O CORTA","Mazzaella laminarioides","alga"
"LUGA NEGRA O CRESPA","Sarcothalia crispata","alga"
"LUGA-ROJA","Gigartina skottsbergii","alga"
"PELILLO","Gracilaria spp.","alga"
"AGUJILLA","Scomberesox saurus scombroides","pescado_otros"
"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius","atunes"
"ANCHOVETA","Engraulis ringens","pescado_otros"
"ANGUILA","Ophichthus spp.","anguila"
"ANGUILA BABOSA","Eptatretus polytrema","anguila"
"APANADO","Hemilutjanus macrophthalmos","pescado_otros"
"ATUN ALETA AMARILLA / KAHI AVE AVE","Thunnus albacares","atunes"
"ATUN ALETA LARGA","Thunnus albacares","atunes"
"ATUN CHAUCHERA","Gatrochisma melampus","atunes"
"AZULEJO","Prionace glauca","tiburon"
"BACALADILLO O MOTE","Normanichthys crockeri","pescado_otros"
"BACALAO DE PROFUNDIDAD","Dissostichus eleginoides","pescado_otros"
"BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","Ruvettus pretiosus","pescado_otros"
"BESUGO","Epigonus crassicaudus","pescado_otros"
"BLANQUILLO","Prolatilus jugularis","pescado_otros"
"BONITO","Sarda chiliensis","bonito"
"BRECA O BILAGAY","Cheilodactylus variegatus","pescado_otros"
"CABALLA","Scomber japonicus","caballa"
"CABINZA","Isacia conceptionis","pescado_otros"
"CABRILLA COMUN","Paralabrax humeralis","pescado_otros"
"CABRILLA ESPANOLA","Sebastes capensis","pescado_otros"
"CANQUE","Stellifer minor","pescado_otros"
"CHANCHARRO","Helicolenus lengerichi","pescado_otros"
"CHASQUE O CHALACO","Auchenionchus spp.","pescado_otros"
"COJINOBA DEL NORTE / PIAFRI","Seriolella violacea","pescado_otros"
"COJINOBA DEL SUR O AZUL","Seriolella caerulea","pescado_otros"
"CONGRIO COLORADO","Genypterus chilensis","congrio"
"CONGRIO DORADO","Genypterus blacodes","congrio"
"CONGRIO NEGRO","Genypterus maculatus","congrio"
"CORVINA","Cilus gilberti","pescado_otros"
"DORADO DE ALTURA / MAHI MAHI","Coryphaena hippurus","pescado_otros"
"EMPERADOR","Luvarus imperialis","pescado_otros"
"JERGUILLA","Aplodactylus punctatus","pescado_otros"
"JUREL","Trachurus murphyi","jurel"
"JUREL DE JUAN FERNANDEZ","Caranx georgianus","jurel"
"LENGUADO","Paralichthys spp.","pescado_otros"
"LENGUADO DE OJOS CHICOS","Paralichthys microps","pescado_otros"
"LISA","Mugil cephalus","pescado_otros"
"MACHUELO O TRITRE","Ethmidium maculatum","pescado_otros"
"MARLIN","Tetrapturus spp., Makaira spp","pescado_otros"
"MARLIN RAYADO","Tetrapturus auda","pescado_otros"
"MERLUZA COMUN","Merluccius gayi gayi","merluza"
"MERLUZA DE COLA","Macruronus magellanicus","merluza"
"MERLUZA DEL SUR O AUSTRAL","Merluccius australis","merluza"
"MORENA DE ALETA BAJA / KOREHA HA OKO","Gymnothorax porphyreus","anguila"
"PAMPANITO","Stromateus stellatus","pescado_otros"
"PAMPANITO DE JUAN FERNANDEZ","Scorpis chilensis","pescado_otros"
"PEJE GATO HOCICON","Apristurus nasutus","pescado_otros"
"PEJEGALLO","Callorhinchus callorhynchus","pescado_otros"
"PEJEPERRO","Semicossyphus maculatus","pescado_otros"
"PEJERREY DE MAR","Odontesthes regia","pescado_otros"
"PEJESAPO","Sicyases sanguin","pescado_otros"
"PESCADO NO CLASIFICADO",NA,"pescado_otros"
"PEZ SOL","Lampris guttatus","pescado_otros"
"PICHIBUENO","Menticirrhus ophicephalus","pescado_otros"
"PUYE","Galaxias maculatus","pescado_otros"
"RAYA VOLANTIN","Zearaja chilensis","raya"
"REINETA","Brama australis","pescado_otros"
"ROBALO","Eleginops maclovinus","pescado_otros"
"ROCOCO","Paralonchurus peruanus","pescado_otros"
"ROLLIZO","Pinguipes chilensis","pescado_otros"
"RONCACHO","Sciaena deliciosa","pescado_otros"
"SALMON REY","Oncorhynchus tshawytscha","salmon"
"SARDINA AUSTRAL","Sprattus fuegensis","sardina"
"SARDINA COMUN","Strangomera bentincki","sardina"
"SARDINA ESPANOLA","Sardinops sagax","sardina"
"SARGO","Anisotremus scapularis","pescado_otros"
"SIERRA","Thyrsites atun","tiburon"
"TIBURON FUME, GRIS O GATA DE MAR","Hexanchus griseus","tiburon"
"TIBURON NARIGON GRIS","Deania calcea","tiburon"
"TIBURON O MARRAJO DENTUDO","Isurus oxyrinchus","tiburon"
"TIBURON SARDINERO","Lamna nasus","tiburon"
"TOLLO","Mustelus mento","tiburon"
"TOLLO DE CACHOS","Squalus acanthias","tiburon"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss","trucha"
"TURBOT","Scophtalmus maximus","pescado_otros"
"VIDRIOLA, PALOMETA, DORADO O TOREMO","Seriola lalandi","pescado_otros"
"VIEJA O MULATA","Graus nigra","pescado_otros"
"VINCIGUERRIA","Vinciguerria lucetia pacifici","pescado_otros"
