"Taxon.Key","MatchName","Country","Year","Exports","Imports","Production"
100000,"Marine animals","Brazil","X2010",0,0,0
100000,"Marine animals","Brazil","X2011",0,0,0
100000,"Marine animals","Brazil","X2012",0,0,0
100000,"Marine animals","Brazil","X2013",0,0,0
100000,"Marine animals","Brazil","X2014",0,0,0
100000,"Marine animals","Brazil","X2015",0,0,0
100000,"Marine animals","Brazil","X2016",0,0,0
100000,"Marine animals","Chile","X2010",0,0,0
100000,"Marine animals","Chile","X2011",0,0,0
100000,"Marine animals","Chile","X2012",0,0,0
100000,"Marine animals","Chile","X2013",0,0,0
100000,"Marine animals","Chile","X2014",0,0,8
100000,"Marine animals","Chile","X2015",0,0,0
100000,"Marine animals","Chile","X2016",0,0,0
100000,"Marine animals","Peru","X2010",0,0,0
100000,"Marine animals","Peru","X2011",0,0,0
100000,"Marine animals","Peru","X2012",0,0,0
100000,"Marine animals","Peru","X2013",0,0,0
100000,"Marine animals","Peru","X2014",0,0,0
100000,"Marine animals","Peru","X2015",0,0,0
100000,"Marine animals","Peru","X2016",0,0,0
100011,"Carps, barbels, other cyprinids","Brazil","X2010",0,0,0
100011,"Carps, barbels, other cyprinids","Brazil","X2011",0,0,0
100011,"Carps, barbels, other cyprinids","Brazil","X2012",0,100,0
100011,"Carps, barbels, other cyprinids","Brazil","X2013",0,104,0
100011,"Carps, barbels, other cyprinids","Brazil","X2014",0,182,0
100011,"Carps, barbels, other cyprinids","Brazil","X2015",0,56,0
100011,"Carps, barbels, other cyprinids","Brazil","X2016",0,12,0
100011,"Carps, barbels, other cyprinids","Chile","X2010",0,0,0
100011,"Carps, barbels, other cyprinids","Chile","X2011",0,0,0
100011,"Carps, barbels, other cyprinids","Chile","X2012",0,0,0
100011,"Carps, barbels, other cyprinids","Chile","X2013",0,0,0
100011,"Carps, barbels, other cyprinids","Chile","X2014",0,0,0
100011,"Carps, barbels, other cyprinids","Chile","X2015",0,0,0
100011,"Carps, barbels, other cyprinids","Chile","X2016",0,0,0
100025,"Diadromous fishes","Chile","X2010",0,0,0
100025,"Diadromous fishes","Chile","X2011",0,0,0
100025,"Diadromous fishes","Chile","X2012",0,0,0
100025,"Diadromous fishes","Chile","X2013",0,0,0
100025,"Diadromous fishes","Chile","X2014",0,0,0
100025,"Diadromous fishes","Chile","X2015",0,0,0
100025,"Diadromous fishes","Chile","X2016",0,0,0
100031,"Flounders, halibuts, soles, turbots","Brazil","X2010",0,0,0
100031,"Flounders, halibuts, soles, turbots","Brazil","X2011",0,0,0
100031,"Flounders, halibuts, soles, turbots","Brazil","X2012",0,0,0
100031,"Flounders, halibuts, soles, turbots","Brazil","X2013",0,0,0
100031,"Flounders, halibuts, soles, turbots","Brazil","X2014",0,0,0
100031,"Flounders, halibuts, soles, turbots","Brazil","X2015",0,0,0
100031,"Flounders, halibuts, soles, turbots","Brazil","X2016",0,1,0
100031,"Flounders, halibuts, soles, turbots","Chile","X2010",0,0,0
100031,"Flounders, halibuts, soles, turbots","Chile","X2011",0,0,0
100031,"Flounders, halibuts, soles, turbots","Chile","X2012",0,0,0
