"Taxon.Key","FAO_Name","MatchName","SAU_name","Species","Country","Year","Aquaculture","Capture","Exports","Imports","Production","DHC_Use","FMFO_Use","Other_Use","Discards"
NA,"[Anostomoides.laticeps]",NA,NA,"[Anostomoides.laticeps]","Brazil","X2010",7228,0,0,0,0,NA,NA,NA,NA
NA,"[Brycon.amazonicus]",NA,NA,"[Brycon.amazonicus]","Brazil","X2011",5146,0,0,0,0,NA,NA,NA,NA
NA,"[Brycon.amazonicus]",NA,NA,"[Brycon.amazonicus]","Brazil","X2012",5599,0,0,0,0,NA,NA,NA,NA
NA,"[Brycon.amazonicus]",NA,NA,"[Brycon.amazonicus]","Brazil","X2013",5486,0,0,0,0,NA,NA,NA,NA
NA,"[Brycon.amazonicus]",NA,NA,"[Brycon.amazonicus]","Brazil","X2014",10700,0,0,0,0,NA,NA,NA,NA
NA,"[Brycon.amazonicus]",NA,NA,"[Brycon.amazonicus]","Brazil","X2015",9400,0,0,0,0,NA,NA,NA,NA
NA,"[Brycon.amazonicus]",NA,NA,"[Brycon.amazonicus]","Brazil","X2016",8800,0,0,0,0,NA,NA,NA,NA
NA,"[Brycon.cephalus]",NA,NA,"[Brycon.cephalus]","Brazil","X2010",2982,0,0,0,0,NA,NA,NA,NA
NA,"[Brycon.hilarii]",NA,NA,"[Brycon.hilarii]","Brazil","X2010",1366,0,0,0,0,NA,NA,NA,NA
NA,"[Brycon.orbignyanus]",NA,NA,"[Brycon.orbignyanus]","Brazil","X2010",0,8,0,0,0,NA,NA,NA,NA
NA,"[Brycon.orbignyanus]",NA,NA,"[Brycon.orbignyanus]","Brazil","X2011",0,8,0,0,0,NA,NA,NA,NA
NA,"[Brycon.orbignyanus]",NA,NA,"[Brycon.orbignyanus]","Brazil","X2012",0,8,0,0,0,NA,NA,NA,NA
NA,"[Brycon.orbignyanus]",NA,NA,"[Brycon.orbignyanus]","Brazil","X2013",0,8,0,0,0,NA,NA,NA,NA
NA,"[Brycon.orbignyanus]",NA,NA,"[Brycon.orbignyanus]","Brazil","X2014",0,8,0,0,0,NA,NA,NA,NA
NA,"[Brycon.orbignyanus]",NA,NA,"[Brycon.orbignyanus]","Brazil","X2015",0,8,0,0,0,NA,NA,NA,NA
NA,"[Brycon.orbignyanus]",NA,NA,"[Brycon.orbignyanus]","Brazil","X2016",0,8,0,0,0,NA,NA,NA,NA
NA,"[Brycon.spp]",NA,NA,"[Brycon.spp]","Brazil","X2011",754,0,0,0,0,NA,NA,NA,NA
NA,"[Brycon.spp]",NA,NA,"[Brycon.spp]","Brazil","X2012",934,0,0,0,0,NA,NA,NA,NA
NA,"[Brycon.spp]",NA,NA,"[Brycon.spp]","Brazil","X2013",855,0,0,0,0,NA,NA,NA,NA
NA,"[Brycon.spp]",NA,NA,"[Brycon.spp]","Brazil","X2014",300,0,0,0,0,NA,NA,NA,NA
NA,"[Brycon.spp]",NA,NA,"[Brycon.spp]","Brazil","X2015",5300,0,0,0,0,NA,NA,NA,NA
NA,"[Brycon.spp]",NA,NA,"[Brycon.spp]","Brazil","X2016",6100,0,0,0,0,NA,NA,NA,NA
NA,"[Cichla.spp]",NA,NA,"[Cichla.spp]","Brazil","X2011",136,0,0,0,0,NA,NA,NA,NA
