"Taxon.Key","Country","Year","Aquaculture","Capture","Common_Name","MatchGroup"
NA,"Brazil","X2010",7228,NA," Anostomoides laticeps ",NA
NA,"Brazil","X2011",0,NA," Anostomoides laticeps ",NA
NA,"Brazil","X2012",0,NA," Anostomoides laticeps ",NA
NA,"Brazil","X2013",0,NA," Anostomoides laticeps ",NA
NA,"Brazil","X2014",0,NA," Anostomoides laticeps ",NA
NA,"Brazil","X2015",0,NA," Anostomoides laticeps ",NA
NA,"Brazil","X2016",0,NA," Anostomoides laticeps ",NA
NA,"Brazil","X2010",0,NA," Brycon amazonicus ",NA
NA,"Brazil","X2011",5146,NA," Brycon amazonicus ",NA
NA,"Brazil","X2012",5599,NA," Brycon amazonicus ",NA
NA,"Brazil","X2013",5486,NA," Brycon amazonicus ",NA
NA,"Brazil","X2014",10700,NA," Brycon amazonicus ",NA
NA,"Brazil","X2015",9400,NA," Brycon amazonicus ",NA
NA,"Brazil","X2016",8800,NA," Brycon amazonicus ",NA
NA,"Brazil","X2010",2982,NA," Brycon cephalus ",NA
NA,"Brazil","X2011",0,NA," Brycon cephalus ",NA
NA,"Brazil","X2012",0,NA," Brycon cephalus ",NA
NA,"Brazil","X2013",0,NA," Brycon cephalus ",NA
NA,"Brazil","X2014",0,NA," Brycon cephalus ",NA
NA,"Brazil","X2015",0,NA," Brycon cephalus ",NA
NA,"Brazil","X2016",0,NA," Brycon cephalus ",NA
NA,"Brazil","X2010",1366,NA," Brycon hilarii ",NA
NA,"Brazil","X2011",0,NA," Brycon hilarii ",NA
NA,"Brazil","X2012",0,NA," Brycon hilarii ",NA
NA,"Brazil","X2013",0,NA," Brycon hilarii ",NA
NA,"Brazil","X2014",0,NA," Brycon hilarii ",NA
NA,"Brazil","X2015",0,NA," Brycon hilarii ",NA
NA,"Brazil","X2016",0,NA," Brycon hilarii ",NA
NA,"Brazil","X2010",NA,8," Brycon orbignyanus ",NA
NA,"Brazil","X2011",NA,8," Brycon orbignyanus ",NA
NA,"Brazil","X2012",NA,8," Brycon orbignyanus ",NA
NA,"Brazil","X2013",NA,8," Brycon orbignyanus ",NA
NA,"Brazil","X2014",NA,8," Brycon orbignyanus ",NA
NA,"Brazil","X2015",NA,8," Brycon orbignyanus ",NA
NA,"Brazil","X2016",NA,8," Brycon orbignyanus ",NA
NA,"Brazil","X2010",0,NA," Brycon spp ",NA
NA,"Brazil","X2011",754,NA," Brycon spp ",NA
NA,"Brazil","X2012",934,NA," Brycon spp ",NA
NA,"Brazil","X2013",855,NA," Brycon spp ",NA
NA,"Brazil","X2014",300,NA," Brycon spp ",NA
NA,"Brazil","X2015",5300,NA," Brycon spp ",NA
NA,"Brazil","X2016",6100,NA," Brycon spp ",NA
NA,"Brazil","X2010",0,NA," Cichla spp ",NA
NA,"Brazil","X2011",136,NA," Cichla spp ",NA
NA,"Brazil","X2012",1415,NA," Cichla spp ",NA
NA,"Brazil","X2013",147,NA," Cichla spp ",NA
NA,"Brazil","X2014",60,NA," Cichla spp ",NA
NA,"Brazil","X2015",70,NA," Cichla spp ",NA
NA,"Brazil","X2016",40,NA," Cichla spp ",NA
NA,"Brazil","X2010",NA,5209," Curimata cyprinoides ",NA
NA,"Brazil","X2011",NA,4912," Curimata cyprinoides ",NA
NA,"Brazil","X2012",NA,4951," Curimata cyprinoides ",NA
NA,"Brazil","X2013",NA,4993," Curimata cyprinoides ",NA
NA,"Brazil","X2014",NA,4929," Curimata cyprinoides ",NA
NA,"Brazil","X2015",NA,4730," Curimata cyprinoides ",NA
NA,"Brazil","X2016",NA,4730," Curimata cyprinoides ",NA
NA,"Brazil","X2010",NA,9821," Hoplias aimara ",NA
NA,"Brazil","X2011",NA,9261," Hoplias aimara ",NA
NA,"Brazil","X2012",NA,9334," Hoplias aimara ",NA
NA,"Brazil","X2013",NA,9413," Hoplias aimara ",NA
NA,"Brazil","X2014",NA,9293," Hoplias aimara ",NA
NA,"Brazil","X2015",NA,8880," Hoplias aimara ",NA
NA,"Brazil","X2016",NA,8880," Hoplias aimara ",NA
NA,"Brazil","X2010",0,NA," Hoplias spp ",NA
NA,"Brazil","X2011",1219,NA," Hoplias spp ",NA
NA,"Brazil","X2012",1287,NA," Hoplias spp ",NA
NA,"Brazil","X2013",1156,NA," Hoplias spp ",NA
NA,"Brazil","X2014",1100,NA," Hoplias spp ",NA
NA,"Brazil","X2015",1100,NA," Hoplias spp ",NA
NA,"Brazil","X2016",800,NA," Hoplias spp ",NA
NA,"Brazil","X2010",NA,1351," Leporellus vittatus ",NA
NA,"Brazil","X2011",NA,1274," Leporellus vittatus ",NA
NA,"Brazil","X2012",NA,1284," Leporellus vittatus ",NA
NA,"Brazil","X2013",NA,1295," Leporellus vittatus ",NA
NA,"Brazil","X2014",NA,1279," Leporellus vittatus ",NA
NA,"Brazil","X2015",NA,1230," Leporellus vittatus ",NA
NA,"Brazil","X2016",NA,1230," Leporellus vittatus ",NA
NA,"Brazil","X2010",0,NA," Leporinus spp ",NA
NA,"Brazil","X2011",0,NA," Leporinus spp ",NA
NA,"Brazil","X2012",0,NA," Leporinus spp ",NA
NA,"Brazil","X2013",3793,NA," Leporinus spp ",NA
NA,"Brazil","X2014",4400,NA," Leporinus spp ",NA
NA,"Brazil","X2015",3200,NA," Leporinus spp ",NA
NA,"Brazil","X2016",2700,NA," Leporinus spp ",NA
NA,"Brazil","X2010",NA,571," Lophiosilurus alexandri ",NA
NA,"Brazil","X2011",NA,538," Lophiosilurus alexandri ",NA
NA,"Brazil","X2012",NA,542," Lophiosilurus alexandri ",NA
NA,"Brazil","X2013",NA,547," Lophiosilurus alexandri ",NA
NA,"Brazil","X2014",NA,540," Lophiosilurus alexandri ",NA
NA,"Brazil","X2015",NA,515," Lophiosilurus alexandri ",NA
NA,"Brazil","X2016",NA,515," Lophiosilurus alexandri ",NA
NA,"Brazil","X2010",NA,589," Loricaria cataphracta ",NA
NA,"Brazil","X2011",NA,555," Loricaria cataphracta ",NA
NA,"Brazil","X2012",NA,560," Loricaria cataphracta ",NA
NA,"Brazil","X2013",NA,564," Loricaria cataphracta ",NA
NA,"Brazil","X2014",NA,557," Loricaria cataphracta ",NA
NA,"Brazil","X2015",NA,530," Loricaria cataphracta ",NA
NA,"Brazil","X2016",NA,530," Loricaria cataphracta ",NA
NA,"Brazil","X2010",NA,30," Pimelodus maculatus ",NA
NA,"Brazil","X2011",NA,29," Pimelodus maculatus ",NA
NA,"Brazil","X2012",NA,29," Pimelodus maculatus ",NA
NA,"Brazil","X2013",NA,29," Pimelodus maculatus ",NA
NA,"Brazil","X2014",NA,29," Pimelodus maculatus ",NA
NA,"Brazil","X2015",NA,27," Pimelodus maculatus ",NA
NA,"Brazil","X2016",NA,27," Pimelodus maculatus ",NA
NA,"Brazil","X2010",NA,5173," Schizodon fasciatus ",NA
NA,"Brazil","X2011",NA,4914," Schizodon fasciatus ",NA
NA,"Brazil","X2012",NA,4952," Schizodon fasciatus ",NA
NA,"Brazil","X2013",NA,4994," Schizodon fasciatus ",NA
NA,"Brazil","X2014",NA,4931," Schizodon fasciatus ",NA
NA,"Brazil","X2015",NA,4730," Schizodon fasciatus ",NA
NA,"Brazil","X2016",NA,4730," Schizodon fasciatus ",NA
NA,"Brazil","X2010",NA,3366," Triportheus angulatus ",NA
NA,"Brazil","X2011",NA,3174," Triportheus angulatus ",NA
NA,"Brazil","X2012",NA,3199," Triportheus angulatus ",NA
NA,"Brazil","X2013",NA,3226," Triportheus angulatus ",NA
NA,"Brazil","X2014",NA,3185," Triportheus angulatus ",NA
NA,"Brazil","X2015",NA,3050," Triportheus angulatus ",NA
NA,"Brazil","X2016",NA,3050," Triportheus angulatus ",NA
601169,"Brazil","X2010",NA,20879,"Acoupa weakfish","Weakfish"
601169,"Brazil","X2011",NA,19430,"Acoupa weakfish","Weakfish"
601169,"Brazil","X2012",NA,21144,"Acoupa weakfish","Weakfish"
601169,"Brazil","X2013",NA,18248,"Acoupa weakfish","Weakfish"
601169,"Brazil","X2014",NA,22027,"Acoupa weakfish","Weakfish"
601169,"Brazil","X2015",NA,19800,"Acoupa weakfish","Weakfish"
601169,"Brazil","X2016",NA,19800,"Acoupa weakfish","Weakfish"
NA,"Brazil","X2010",NA,314,"Aimara",NA
NA,"Brazil","X2011",NA,296,"Aimara",NA
NA,"Brazil","X2012",NA,298,"Aimara",NA
NA,"Brazil","X2013",NA,301,"Aimara",NA
NA,"Brazil","X2014",NA,297,"Aimara",NA
NA,"Brazil","X2015",NA,280,"Aimara",NA
NA,"Brazil","X2016",NA,280,"Aimara",NA
600142,"Brazil","X2010",NA,271,"Albacore","Tunas"
600142,"Brazil","X2011",NA,1269,"Albacore","Tunas"
600142,"Brazil","X2012",NA,1857,"Albacore","Tunas"
600142,"Brazil","X2013",NA,1821,"Albacore","Tunas"
600142,"Brazil","X2014",NA,438,"Albacore","Tunas"
600142,"Brazil","X2015",NA,425,"Albacore","Tunas"
600142,"Brazil","X2016",NA,390,"Albacore","Tunas"
NA,"Brazil","X2010",NA,0,"Amazon sailfin catfish",NA
NA,"Brazil","X2011",NA,1442,"Amazon sailfin catfish",NA
NA,"Brazil","X2012",NA,1453,"Amazon sailfin catfish",NA
NA,"Brazil","X2013",NA,1465,"Amazon sailfin catfish",NA
NA,"Brazil","X2014",NA,1447,"Amazon sailfin catfish",NA
NA,"Brazil","X2015",NA,1390,"Amazon sailfin catfish",NA
NA,"Brazil","X2016",NA,1390,"Amazon sailfin catfish",NA
NA,"Brazil","X2010",NA,0,"Amazonian manatee",NA
NA,"Brazil","X2011",NA,0,"Amazonian manatee",NA
NA,"Brazil","X2012",NA,0,"Amazonian manatee",NA
NA,"Brazil","X2013",NA,0,"Amazonian manatee",NA
NA,"Brazil","X2014",NA,0,"Amazonian manatee",NA
NA,"Brazil","X2015",NA,0,"Amazonian manatee",NA
NA,"Brazil","X2016",NA,0,"Amazonian manatee",NA
500928,"Brazil","X2010",NA,839,"Amberjacks nei","Amberjack"
500928,"Brazil","X2011",NA,131,"Amberjacks nei","Amberjack"
500928,"Brazil","X2012",NA,143,"Amberjacks nei","Amberjack"
500928,"Brazil","X2013",NA,123,"Amberjacks nei","Amberjack"
500928,"Brazil","X2014",NA,149,"Amberjacks nei","Amberjack"
500928,"Brazil","X2015",NA,134,"Amberjacks nei","Amberjack"
500928,"Brazil","X2016",NA,134,"Amberjacks nei","Amberjack"
NA,"Brazil","X2010",600,NA,"American bull frog","Marine Animals"
NA,"Brazil","X2011",600,NA,"American bull frog","Marine Animals"
NA,"Brazil","X2012",600,NA,"American bull frog","Marine Animals"
