"year","common_name","scientific_name","Reporter","Variable","Value"
1950,"Acoupa weakfish","Cynoscion acoupa","Brazil","Total_tonnes",173.3211038504
1950,"African pompano","Alectis ciliaris","Brazil","Total_tonnes",0.9050386393
1950,"Albacore","Thunnus alalunga","Brazil","Total_tonnes",7.663149176
1950,"Albacore","Thunnus alalunga","Chile","Total_tonnes",0.171
1950,"Aluterid filefishes","Aluterus","Brazil","Total_tonnes",0.2449167422
1950,"Amberjacks","Seriola","Brazil","Total_tonnes",139.2991489514
1950,"American coastal pellona","Pellona harroweri","Brazil","Total_tonnes",636.8758921319
1950,"American harvestfish","Peprilus paru","Brazil","Total_tonnes",31.2115040683
1950,"Anchoveta","Engraulis ringens","Chile","Total_tonnes",12630.4
1950,"Anchoveta","Engraulis ringens","Peru","Total_tonnes",440.8803167051
1950,"Anchovies","Anchoviella","Brazil","Total_tonnes",160.4270370532
1950,"Anchovies, round herrings","Engraulidae","Brazil","Total_tonnes",797.9729615395
1950,"Araucanian herring","Clupea bentincki","Chile","Total_tonnes",8915.2
1950,"Argentine conger","Conger orbignianus","Brazil","Total_tonnes",50.1608965099
1950,"Argentine croaker","Umbrina canosai","Brazil","Total_tonnes",7737.7303553601
1950,"Argentine goatfish","Mullus argentinae","Brazil","Total_tonnes",4.0447001126
1950,"Argentine hake","Merluccius hubbsi","Brazil","Total_tonnes",10692.0123160049
1950,"Argentine menhaden","Brevoortia pectinata","Brazil","Total_tonnes",2451.70956019
1950,"Argentine red shrimp","Pleoticus muelleri","Brazil","Total_tonnes",126.7102244684
1950,"Argentine stiletto shrimp","Artemesia longinaris","Brazil","Total_tonnes",637.8421105659
1950,"Atlantic anchoveta","Cetengraulis edentulus","Brazil","Total_tonnes",176.5228975749
1950,"Atlantic bigeye","Priacanthus arenatus","Brazil","Total_tonnes",7.5410595095
1950,"Atlantic bonito","Sarda sarda","Brazil","Total_tonnes",8.133588204
1950,"Atlantic bumper","Chloroscombrus chrysurus","Brazil","Total_tonnes",108.0365585296
