"year","common_name","scientific_name","fishing_entity","fishing_sector","Total_tonnes","Landings_Value"
1950,"Argentine hake","Merluccius hubbsi","Brazil","Subsistence",0.9026477762,468.4741958478
1950,"Basses, groupers, hinds","Serranidae","Peru","Subsistence",3.411828305,1852.6227696067
1950,"Black jack","Caranx lugubris","Chile","Subsistence",0.4719975443,127.911334510015
1950,"Bluefish","Pomatomus saltatrix","Brazil","Subsistence",0.033888657,231.730636566
1950,"Cabinza grunt","Isacia conceptionis","Peru","Subsistence",8.0739913359,2276.8655567111
1950,"Chilean jack mackerel","Trachurus murphyi","Chile","Subsistence",2.2425,583.05
1950,"Chilean jack mackerel","Trachurus murphyi","Peru","Subsistence",0.1333021388,14.3966309940265
1950,"Chilean silverside","Odontesthes regia","Peru","Subsistence",11.6403553935,4807.46677750608
1950,"Chub mackerel","Scomber japonicus","Peru","Subsistence",19.7677318075,5277.9843926068
1950,"Cods","Gadiformes","Brazil","Subsistence",0.856612041,1920.524195922
1950,"Commercial shrimps and prawns","Penaeidae","Brazil","Subsistence",21.8071763971,79814.265613386
1950,"Common octopus","Octopus vulgaris","Brazil","Subsistence",3.693452381,10024.029762034
1950,"Crabs, lobsters, shrimps","Decapoda","Brazil","Subsistence",8.3942099567,12305.9117965222
1950,"Drums, croakers","Sciaenidae","Brazil","Subsistence",0.0461659148,224.6895073316
1950,"Drums, croakers","Sciaenidae","Peru","Subsistence",219.189899017,130637.179814134
1950,"Eastern Pacific bonito","Sarda chiliensis","Peru","Subsistence",1456.1524656006,407722.690368179
1950,"Finfishes","Marine finfishes not identified","Chile","Subsistence",0.723729568,1060.987546688
1950,"Flathead grey mullet","Mugil cephalus","Peru","Subsistence",16.8183065857,8880.065877275
1950,"Galapagos shark","Carcharhinus galapagensis","Chile","Subsistence",0.031466503,27.3443910674545
1950,"Grey mullets","Mugil","Brazil","Subsistence",54.7981922648,236344.603238083
1950,"Hapuka","Polyprion oxygeneios","Chile","Subsistence",2.2425,4736.16
1950,"Herrings, sardines, menhadens","Clupeidae","Brazil","Subsistence",27.4105629254,41252.897202727
1950,"Jacks, pompanos","Carangidae","Brazil","Subsistence",6.5954506803,16317.1449830622
1950,"King weakfish","Macrodon ancylodon","Brazil","Subsistence",3.201052957,15579.524741719
1950,"Marine fishes nei","Marine fishes not identified","Brazil","Subsistence",64.4454364524,130824.235998372
1950,"Marine fishes nei","Marine fishes not identified","Chile","Subsistence",17.3763594314,10391.0629400053
1950,"Marine fishes nei","Marine fishes not identified","Peru","Subsistence",762.3054163257,189814.04866511
1950,"Medusafishes","Centrolophidae","Chile","Subsistence",1.8879901773,1444.31248561124
