Short_Title,Topics within,Author,Institution,Dataset_Folder_Location,Subject_name,Country,Region,Location,Start_Year,End_Year,Temporal_Resolution,Spatial_Resolution,File_name,Compilation_Title,Publication_Year,Reference,Link,Notes
Sea around us dataset on fisheries landings volume and revenue,Landings; economics; diconstructed,Zeller et al,UBC,Data/International,Multiple species,Peru,National,National,1951,2014,Years,Country level,SAU_Dataset,International,2016,"Zeller, D., Palomares, M. L. D., Tavakolie, A., Ang, M., Belhabib, D., Cheung, W. W. L., et al. (2016). Still catching attention: Sea Around Us reconstructed global catch data, their spatial expression and public accessibility. Marine Policy, 70, 145_152. http://doi.org/10.1016/J.MARPOL.2016.04.046",http://www.seaaroundus.org/data/#/eez/604?chart=catch-chart&dimension=taxon&measure=tonnage&limit=10,
Sea around us dataset on fisheries landings volume and revenue,Landings; economics; diconstructed,Zeller et al,UBC,Data/International,Multiple species,Chile,National,National,1951,2014,Years,Country level,SAU_Dataset,International,2016,"Zeller, D., Palomares, M. L. D., Tavakolie, A., Ang, M., Belhabib, D., Cheung, W. W. L., et al. (2016). Still catching attention: Sea Around Us reconstructed global catch data, their spatial expression and public accessibility. Marine Policy, 70, 145_152. http://doi.org/10.1016/J.MARPOL.2016.04.046",http://www.seaaroundus.org/data/#/eez/152?chart=catch-chart&dimension=taxon&measure=tonnage&limit=10,
Sea around us dataset on fisheries landings volume and revenue,Landings; economics; diconstructed,Zeller et al,UBC,Data/International,Multiple species,Brazil,National,National,1951,2014,Years,Country level,SAU_Dataset,International,2016,"Zeller, D., Palomares, M. L. D., Tavakolie, A., Ang, M., Belhabib, D., Cheung, W. W. L., et al. (2016). Still catching attention: Sea Around Us reconstructed global catch data, their spatial expression and public accessibility. Marine Policy, 70, 145_152. http://doi.org/10.1016/J.MARPOL.2016.04.046",http://www.seaaroundus.org/data/#/eez/76?chart=catch-chart&dimension=taxon&measure=tonnage&limit=10,
"FAO dataset of landings, aquaculture and trade",Landings; trade volume; aquaculture,FAO,FAO,Data/International,Multiple species,Peru,National,National,2010,2018,Years,Country level,International_Data,International,2018,"FAO. (2018). The State of World Fisheries and Aquaculture 2018. Rome, Italy.",www.fao.org/3/i9540en/I9540EN.pdf,
"FAO dataset of landings, aquaculture and trade",Landings; trade volume; aquaculture,FAO,FAO,Data/International,Multiple species,Chile,National,National,2010,2018,Years,Country level,International_Data,International,2018,"FAO. (2018). The State of World Fisheries and Aquaculture 2018. Rome, Italy.",www.fao.org/3/i9540en/I9540EN.pdf,
"FAO dataset of landings, aquaculture and trade",Landings; trade volume; aquaculture,FAO,FAO,Data/International,Multiple species,Brazil,National,National,2010,2018,Years,Country level,International_Data,International,2018,"FAO. (2018). The State of World Fisheries and Aquaculture 2018. Rome, Italy.",www.fao.org/3/i9540en/I9540EN.pdf,
FAO trade dataset (USD),Trade (USD),FAO,FAO,Data/International,Multiple species,Peru,National,National,2010,2018,Years,Country level,International_Data,International,2018,"FAO. (2018). The State of World Fisheries and Aquaculture 2018. Rome, Italy.",www.fao.org/3/i9540en/I9540EN.pdf,
FAO trade dataset (USD),Trade (USD),FAO,FAO,Data/International,Multiple species,Chile,National,National,2010,2018,Years,Country level,International_Data,International,2018,"FAO. (2018). The State of World Fisheries and Aquaculture 2018. Rome, Italy.",www.fao.org/3/i9540en/I9540EN.pdf,
FAO trade dataset (USD),Trade (USD),FAO,FAO,Data/International,Multiple species,Brazil,National,National,2010,2018,Years,Country level,International_Data,International,2018,"FAO. (2018). The State of World Fisheries and Aquaculture 2018. Rome, Italy.",www.fao.org/3/i9540en/I9540EN.pdf,
National Seafood Supply dataset flow,National seafood production supply chain,Palacios-Abrantes et al,UBC,Data/International,Multiple species,Peru,National,National,2014,2018,Average,Country level,International_Data,International,NA,NA,NA,Data generated from the model developed
