Classification,Year,Period,Period_Desc.,Aggregate_Level,Is_Leaf_Code,Trade_Flow_Code,Trade_Flow,Reporter_Code,Reporter,Reporter_ISO,Partner_Code,Partner,Partner_ISO,2nd_Partner_Code,2nd_Partner,2nd_Partner_ISO,Customs_Proc._Code,Customs,Mode_of_Transport_Code,Mode_of_Transport,Commodity_Code,Commodity,Qty_Unit_Code,Qty_Unit,Qty,Alt_Qty_Unit_Code,Alt_Qty_Unit,Alt_Qty,Netweight_kg,Gross_weight_kg,Trade_Value_US,CIF_Trade_Value_US,FOB_Trade_Value_US,Flag
H5,2017,2017,2017,2,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1317607016.00,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,233645805.00,,,0
H5,2017,2017,2017,2,0,4,Re-Import,76,Brazil,BRA,0,World,WLD,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,74642.00,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,24,Angola,AGO,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,371259.00,,,0
H5,2017,2017,2017,2,0,1,Import,76,Brazil,BRA,32,Argentina,ARG,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,105314507.00,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,32,Argentina,ARG,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,208132.00,,,0
H5,2017,2017,2017,2,0,1,Import,76,Brazil,BRA,36,Australia,AUS,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,46126.00,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,36,Australia,AUS,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,7998273.00,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,40,Austria,AUT,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,2618.00,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,56,Belgium,BEL,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,377793.00,,,0
